,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],959.83,216.40,334.40,552.03,955.12
Revenue From Operations [Net],959.83,216.40,334.40,552.03,955.12
Other Operating Revenues,1.55,2.77,1.89,2.93,13.11
Total Operating Revenues,961.39,219.17,336.29,554.96,968.23
Other Income,27.53,9.47,7.36,10.11,8.36
Total Revenue,988.92,228.63,343.65,565.07,976.59
EXPENSES,,,,
Cost Of Materials Consumed,469.20,125.99,188.69,319.22,503.73
Purchase Of Stock-In Trade,25.13,0.07,6.68,2.57,2.33
Operating And Direct Expenses,308.34,87.96,130.66,134.12,223.69
Changes In Inventories Of FG/WIP And Stock-In Trade,0.07,0.32,2.17,-0.18,6.86
Employee Benefit Expenses,21.70,32.21,38.43,51.23,59.59
Finance Costs,117.18,117.54,92.28,86.70,74.12
Depreciation And Amortisation Expenses,16.57,10.28,7.12,7.18,6.99
Other Expenses,75.09,64.62,77.96,60.30,66.73
Total Expenses,1033.29,438.98,543.99,661.15,944.04
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-44.36,-210.35,-200.34,-96.08,32.54
Exceptional Items,0.00,4.54,7.07,10.17,0.00
Profit/Loss Before Tax,-44.36,-205.81,-193.27,-85.91,32.54
Tax Expenses-Continued Operations,,,,
Current Tax,0.38,0.56,0.18,2.48,12.02
Deferred Tax,0.55,-82.67,-0.02,-34.30,4.30
Tax For Earlier Years,0.00,0.18,1.54,-0.29,-3.52
Total Tax Expenses,0.93,-81.93,1.70,-32.10,12.81
Profit/Loss After Tax And Before ExtraOrdinary Items,-45.29,-123.88,-194.96,-53.81,19.73
Prior Period Items,0.61,0.00,0.00,0.00,0.00
Profit/Loss From Continuing Operations,-44.68,-123.88,-194.96,-53.81,19.73
Profit/Loss For The Period,-44.68,-123.88,-194.96,-53.81,19.73
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-3.92,-15.91,-26.28,-7.25,2.66
Diluted EPS (Rs.),-3.92,-15.91,-26.28,-7.25,2.66
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,0.00,0.00,0.13,1.28,3.33
Indigenous Raw Materials,469.20,125.99,188.56,317.94,500.39
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
