,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],650.09,618.39,643.90,693.35,880.00
Less: Excise/Sevice Tax/Other Levies,36.16,28.85,33.64,31.72,31.10
Revenue From Operations [Net],613.93,589.53,610.26,661.64,848.90
Other Operating Revenues,23.41,9.70,6.06,6.77,7.94
Total Operating Revenues,637.34,599.23,616.32,668.40,856.84
Other Income,9.59,11.92,5.31,4.58,4.54
Total Revenue,646.93,611.15,621.62,672.98,861.38
EXPENSES,,,,
Cost Of Materials Consumed,439.84,420.32,464.18,470.07,606.67
Purchase Of Stock-In Trade,3.05,4.14,1.15,4.99,33.24
Operating And Direct Expenses,50.14,48.09,47.34,51.72,58.65
Changes In Inventories Of FG/WIP And Stock-In Trade,1.26,9.42,-20.36,7.77,1.45
Employee Benefit Expenses,55.55,47.24,46.53,48.76,44.65
Finance Costs,14.01,13.01,10.41,10.45,7.35
Depreciation And Amortisation Expenses,11.35,9.58,15.28,13.65,13.13
Other Expenses,56.82,51.28,52.62,55.66,59.38
Total Expenses,632.02,603.08,617.15,663.06,824.52
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,14.90,8.07,4.47,9.92,36.86
Profit/Loss Before Tax,14.90,8.07,4.47,9.92,36.86
Tax Expenses-Continued Operations,,,,
Current Tax,3.94,1.95,1.06,2.25,8.34
Less: MAT Credit Entitlement,1.91,3.23,0.00,0.00,0.00
Deferred Tax,4.24,4.10,0.03,1.58,1.54
Total Tax Expenses,6.26,2.82,1.09,3.83,9.89
Profit/Loss After Tax And Before ExtraOrdinary Items,8.65,5.25,3.38,6.09,26.97
Profit/Loss From Continuing Operations,8.65,5.25,3.38,6.09,26.97
Profit/Loss For The Period,8.65,5.25,3.38,6.09,26.97
Minority Interest,1.30,1.28,1.20,1.31,1.36
Share Of Profit/Loss Of Associates,0.00,0.11,0.00,0.00,0.00
Consolidated Profit/Loss After MI And Associates,9.95,6.65,4.58,7.40,28.33
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),1.00,1.00,0.00,1.00,3.00
Diluted EPS (Rs.),1.00,1.00,0.00,1.00,3.00
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,1.98,1.98,0.99,1.98,1.98
Preference Share Dividend,0.11,0.00,0.00,0.00,0.00
Tax On Dividend,0.43,0.40,0.17,0.34,0.32
