,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],356.46,344.33,370.02,382.97,283.50
Revenue From Operations [Net],356.46,344.33,370.02,382.97,283.50
Other Operating Revenues,0.89,0.89,0.84,0.81,0.81
Total Operating Revenues,357.35,345.22,370.85,383.77,284.30
Other Income,6.55,58.48,9.02,18.01,16.38
Total Revenue,363.90,403.70,379.88,401.79,300.68
EXPENSES,,,,
Purchase Of Stock-In Trade,136.36,171.79,233.84,249.54,157.39
Changes In Inventories Of FG/WIP And Stock-In Trade,6.42,2.71,-3.14,-4.71,0.29
Employee Benefit Expenses,40.41,34.62,29.29,28.03,23.18
Finance Costs,8.56,13.28,12.29,9.56,7.25
Depreciation And Amortisation Expenses,11.55,12.24,13.44,11.89,11.36
Other Expenses,86.70,72.27,63.32,53.65,47.71
Total Expenses,290.00,306.91,349.03,347.94,247.17
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,73.90,96.79,30.85,53.84,53.51
Exceptional Items,0.00,35.75,0.00,0.00,0.00
Profit/Loss Before Tax,73.90,132.54,30.85,53.84,53.51
Tax Expenses-Continued Operations,,,,
Current Tax,24.15,21.60,9.81,15.99,17.41
Deferred Tax,0.32,2.56,0.34,-1.19,-0.45
Tax For Earlier Years,-4.44,0.54,1.29,-1.03,-4.50
Total Tax Expenses,20.03,24.70,11.44,13.77,12.45
Profit/Loss After Tax And Before ExtraOrdinary Items,53.87,107.83,19.41,40.07,41.06
Profit/Loss From Continuing Operations,53.87,107.83,19.41,40.07,41.06
Profit/Loss For The Period,53.87,107.83,19.41,40.07,41.06
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),1.61,32.28,5.81,12.00,12.29
Diluted EPS (Rs.),1.61,32.28,5.81,12.00,12.29
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,0.01,0.05,0.18,0.16,0.08
Indigenous Stores And Spares,3.65,2.29,2.97,3.12,2.59
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,30.06,25.05,17.54,13.36,6.68
Tax On Dividend,6.12,0.00,2.98,1.29,1.08
Equity Dividend Rate (%),90.00,75.00,53.00,40.00,20.00
