,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],1544.65,1340.27,1087.52,834.54,606.35
Less: Excise/Sevice Tax/Other Levies,15.39,11.65,7.65,6.04,8.10
Revenue From Operations [Net],1529.26,1328.62,1079.87,828.50,598.25
Other Operating Revenues,22.50,27.58,30.05,10.70,6.01
Total Operating Revenues,1551.76,1356.20,1109.92,839.20,604.27
Other Income,82.35,33.70,17.72,7.41,1.21
Total Revenue,1634.11,1389.90,1127.64,846.61,605.48
EXPENSES,,,,
Cost Of Materials Consumed,397.21,321.18,299.87,284.09,230.29
Purchase Of Stock-In Trade,57.81,50.21,40.67,27.35,20.47
Changes In Inventories Of FG/WIP And Stock-In Trade,-41.02,9.22,7.14,-11.41,-32.99
Employee Benefit Expenses,235.38,186.34,147.25,115.40,87.17
Finance Costs,4.20,5.01,8.22,18.48,22.72
Depreciation And Amortisation Expenses,42.68,49.42,41.97,32.70,30.68
Other Expenses,386.53,316.69,269.46,216.49,167.39
Total Expenses,1082.79,938.07,814.58,683.10,525.72
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,551.32,451.83,313.06,163.51,79.75
Exceptional Items,0.00,-6.95,0.00,0.00,0.00
Profit/Loss Before Tax,551.32,444.88,313.06,163.51,79.75
Tax Expenses-Continued Operations,,,,
Current Tax,134.92,145.21,83.58,32.81,15.96
Less: MAT Credit Entitlement,0.00,0.00,-9.84,-23.00,8.75
Deferred Tax,4.95,-7.24,-0.67,6.56,6.17
Tax For Earlier Years,-3.03,0.54,-0.55,0.02,-0.12
Total Tax Expenses,136.84,138.51,92.20,62.39,13.26
Profit/Loss After Tax And Before ExtraOrdinary Items,414.48,306.37,220.86,101.12,66.49
Profit/Loss From Continuing Operations,414.48,306.37,220.86,101.12,66.49
Profit/Loss For The Period,414.48,306.37,220.86,101.12,66.49
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),47.10,34.84,62.83,43.17,56.79
Diluted EPS (Rs.),47.10,34.80,62.72,43.07,56.66
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,26.08,50.38,33.81,45.79,32.75
Indigenous Raw Materials,371.13,270.80,266.06,238.30,197.53
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,1.82,0.67,0.00,0.00,0.00
Indigenous Stores And Spares,34.36,20.43,14.43,9.28,5.70
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,70.40,52.82,35.18,14.67,8.78
Tax On Dividend,6.15,5.69,5.98,2.50,1.42
Equity Dividend Rate (%),400.00,300.00,200.00,125.00,75.00

