,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],551.10,612.91,781.68,703.51,647.25
Less: Excise/Sevice Tax/Other Levies,1.69,2.01,2.59,2.97,2.43
Revenue From Operations [Net],549.42,610.90,779.09,700.54,644.82
Other Operating Revenues,33.05,38.13,43.07,22.33,23.79
Total Operating Revenues,582.46,649.03,822.16,722.87,668.61
Other Income,12.33,7.21,10.93,6.18,11.40
Total Revenue,594.79,656.24,833.09,729.05,680.01
EXPENSES,,,,
Cost Of Materials Consumed,380.78,409.83,540.62,480.32,560.13
Purchase Of Stock-In Trade,2.77,15.87,30.67,30.26,4.99
Operating And Direct Expenses,76.40,79.01,80.95,81.98,70.97
Changes In Inventories Of FG/WIP And Stock-In Trade,17.82,-1.50,-0.05,-27.81,70.56
Employee Benefit Expenses,65.79,69.35,72.94,63.88,52.50
Finance Costs,0.47,4.20,113.87,99.49,99.46
Depreciation And Amortisation Expenses,35.97,44.86,45.05,45.01,45.67
Other Expenses,63.24,63.97,66.51,60.38,48.96
Total Expenses,643.24,685.60,950.56,833.52,953.24
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-48.46,-29.36,-117.47,-104.47,-273.23
Exceptional Items,68.69,0.00,0.00,-11.66,-2.28
Profit/Loss Before Tax,20.24,-29.36,-117.47,-116.13,-275.51
Tax Expenses-Continued Operations,,,,
Current Tax,0.00,0.03,0.05,0.03,0.45
Less: MAT Credit Entitlement,0.00,-0.01,0.00,0.00,0.00
Tax For Earlier Years,0.00,0.00,0.00,-0.17,0.00
Total Tax Expenses,0.00,0.03,0.05,-0.14,0.45
Profit/Loss After Tax And Before ExtraOrdinary Items,20.23,-29.39,-117.52,-115.99,-275.95
Profit/Loss From Continuing Operations,20.23,-29.39,-117.52,-115.99,-275.95
Profit/Loss For The Period,20.23,-29.39,-117.52,-115.99,-275.95
Minority Interest,0.00,-0.03,-0.04,0.17,-0.37
Consolidated Profit/Loss After MI And Associates,20.23,-29.42,-117.56,-115.82,-276.32
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),2.00,-11.00,-33.00,-33.00,-73.00
Diluted EPS (Rs.),1.00,-11.00,-33.00,-33.00,-73.00
Imported Raw Materials,27.86,21.96,24.47,15.25,32.91
Indigenous Raw Materials,352.92,387.87,516.15,465.07,527.22
Imported Stores And Spares,3.88,6.28,3.12,2.92,1.90
Indigenous Stores And Spares,8.37,7.23,8.75,10.30,9.84
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
