,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],448.47,770.20,604.20,427.62,400.01
Revenue From Operations [Net],448.47,770.20,604.20,427.62,400.01
Total Operating Revenues,448.47,770.20,604.20,427.62,400.01
Other Income,18.62,17.51,14.80,8.03,3.39
Total Revenue,467.09,787.71,619.01,435.65,403.40
EXPENSES,,,,
Operating And Direct Expenses,306.81,596.00,429.50,274.47,254.13
Changes In Inventories Of FG/WIP And Stock-In Trade,2.06,2.42,-2.31,0.23,0.87
Employee Benefit Expenses,28.06,29.34,25.83,23.77,21.92
Finance Costs,62.58,41.29,49.46,45.09,35.75
Depreciation And Amortisation Expenses,3.03,4.00,3.04,2.97,3.56
Other Expenses,41.79,65.99,52.15,35.93,36.30
Total Expenses,444.33,739.04,557.67,382.45,352.53
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,22.75,48.67,61.33,53.20,50.88
Profit/Loss Before Tax,22.75,48.67,61.33,53.20,50.88
Tax Expenses-Continued Operations,,,,
Current Tax,4.79,10.23,12.87,10.94,12.75
Less: MAT Credit Entitlement,3.81,5.97,4.07,0.47,-1.55
Deferred Tax,6.77,12.61,13.16,5.41,2.91
Tax For Earlier Years,0.01,1.29,0.36,-0.70,0.91
Total Tax Expenses,7.75,18.16,22.31,15.19,18.12
Profit/Loss After Tax And Before ExtraOrdinary Items,15.00,30.51,39.02,38.01,32.75
Profit/Loss From Continuing Operations,15.00,30.51,39.02,38.01,32.75
Profit/Loss For The Period,15.00,30.51,39.02,38.01,32.75
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),2.53,5.14,6.57,19.10,16.37
Diluted EPS (Rs.),2.53,5.14,6.57,19.10,16.37
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,0.00,0.24,0.00,0.00,0.13
Indigenous Raw Materials,116.95,192.32,171.66,115.43,73.96
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,3.56,4.75,4.75,4.75,2.00
Tax On Dividend,0.01,0.71,0.72,0.81,0.33
Equity Dividend Rate (%),6.00,8.00,8.00,8.00,10.00
