,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],2359.71,2247.09,2280.10,2085.00,1781.88
Less: Excise/Sevice Tax/Other Levies,168.19,165.64,154.48,155.90,115.38
Revenue From Operations [Net],2191.52,2081.45,2125.62,1929.10,1666.50
Other Operating Revenues,17.35,17.12,14.45,15.31,14.75
Total Operating Revenues,2208.87,2098.57,2140.07,1944.41,1681.25
Other Income,5.49,16.99,4.47,9.72,10.54
Total Revenue,2214.36,2115.56,2144.54,1954.13,1691.79
EXPENSES,,,,
Cost Of Materials Consumed,759.47,700.52,684.58,655.51,565.78
Purchase Of Stock-In Trade,39.79,30.50,9.93,13.43,12.80
Changes In Inventories Of FG/WIP And Stock-In Trade,3.04,17.24,8.10,-16.12,-69.42
Employee Benefit Expenses,202.58,182.11,175.58,163.34,143.21
Finance Costs,143.92,159.55,162.98,169.59,148.23
Depreciation And Amortisation Expenses,109.62,111.85,142.89,154.20,131.91
Other Expenses,811.84,858.88,1032.47,960.91,854.10
Total Expenses,2070.26,2060.65,2216.53,2100.86,1786.61
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,144.10,54.91,-71.99,-146.73,-94.82
Exceptional Items,-2.04,-4.29,0.00,0.00,0.00
Profit/Loss Before Tax,142.06,50.62,-71.99,-146.73,-94.82
Tax Expenses-Continued Operations,,,,
Current Tax,33.45,13.50,0.04,0.01,0.02
Less: MAT Credit Entitlement,33.45,13.44,2.38,0.01,0.02
Deferred Tax,53.74,13.02,-22.43,-47.79,-27.99
Tax For Earlier Years,6.28,0.00,2.45,0.00,0.00
Total Tax Expenses,60.02,13.08,-22.32,-47.79,-27.99
Profit/Loss After Tax And Before ExtraOrdinary Items,82.04,37.54,-49.67,-98.94,-66.83
Extraordinary Items,0.00,0.57,0.00,0.00,0.00
Profit/Loss From Continuing Operations,82.04,38.11,-49.67,-98.94,-66.83
Profit/Loss For The Period,82.04,38.11,-49.67,-98.94,-66.83
Minority Interest,2.31,1.90,1.61,1.21,1.12
Share Of Profit/Loss Of Associates,2.60,2.01,1.28,0.23,0.59
Consolidated Profit/Loss After MI And Associates,86.95,42.02,-46.78,-97.50,-65.12
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),4.00,2.00,-2.00,-6.00,-4.00
Diluted EPS (Rs.),4.00,2.00,-2.00,-6.00,-4.00
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,14.59,0.00,0.00,0.00,0.00
Tax On Dividend,2.97,0.00,0.00,0.00,0.00
