,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],241.07,232.82,228.08,216.16,226.00
Less: Excise/Sevice Tax/Other Levies,0.32,0.33,0.32,0.33,0.24
Revenue From Operations [Net],240.74,232.49,227.76,215.83,225.76
Total Operating Revenues,240.74,232.49,227.76,215.83,225.76
Other Income,13.64,30.95,65.14,50.52,50.51
Total Revenue,254.39,263.45,292.90,266.35,276.28
EXPENSES,,,,
Operating And Direct Expenses,31.34,29.44,29.37,27.11,26.72
Employee Benefit Expenses,57.17,56.11,55.31,54.97,55.22
Finance Costs,137.84,93.64,73.42,52.32,46.90
Depreciation And Amortisation Expenses,22.71,26.54,11.43,11.96,11.49
Other Expenses,79.95,102.89,80.44,75.42,81.46
Total Expenses,329.01,308.62,249.96,221.79,221.79
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-74.62,-45.18,42.93,44.56,54.49
Profit/Loss Before Tax,-74.62,-45.18,42.93,44.56,54.49
Tax Expenses-Continued Operations,,,,
Current Tax,0.00,0.00,9.12,14.70,18.60
Less: MAT Credit Entitlement,0.00,0.07,7.71,0.00,0.00
Deferred Tax,-25.81,3.02,14.23,1.32,0.50
Tax For Earlier Years,0.00,-0.10,-0.32,-1.02,-0.27
Total Tax Expenses,-25.81,2.84,15.32,15.00,18.83
Profit/Loss After Tax And Before ExtraOrdinary Items,-48.82,-48.02,27.61,29.56,35.65
Prior Period Items,-0.34,-0.16,-0.08,-0.11,0.01
Extraordinary Items,32.17,0.00,-51.20,0.00,0.00
Profit/Loss From Continuing Operations,-16.99,-48.18,-23.66,29.45,35.66
Profit/Loss For The Period,-16.99,-48.18,-23.66,29.45,35.66
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-8.74,-24.77,-12.16,15.11,18.30
Diluted EPS (Rs.),-8.74,-24.77,-12.16,15.11,18.30
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,0.00,0.00,1.95,1.95,2.92
Preference Share Dividend,0.00,0.00,0.00,0.05,0.05
Tax On Dividend,0.00,0.00,0.33,0.34,0.48
Equity Dividend Rate (%),0.00,0.00,10.00,10.00,15.00
