,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],592.55,535.09,479.55,407.46,318.88
Less: Excise/Sevice Tax/Other Levies,64.54,45.02,50.30,44.60,30.69
Revenue From Operations [Net],528.01,490.07,429.26,362.86,288.19
Other Operating Revenues,3.03,2.73,0.88,0.98,10.63
Total Operating Revenues,531.04,492.80,430.13,363.84,298.82
Other Income,1.31,5.86,2.92,1.98,0.59
Total Revenue,532.36,498.66,433.06,365.82,299.42
EXPENSES,,,,
Cost Of Materials Consumed,388.08,373.59,330.39,283.15,241.86
Changes In Inventories Of FG/WIP And Stock-In Trade,-3.21,-1.38,1.26,0.74,-4.30
Employee Benefit Expenses,37.34,32.36,27.36,21.01,16.48
Finance Costs,0.78,0.59,0.35,0.40,0.76
Depreciation And Amortisation Expenses,5.29,5.58,5.21,4.44,4.26
Other Expenses,32.55,30.31,25.74,18.85,17.24
Total Expenses,460.83,441.05,390.31,328.60,276.30
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,71.53,57.61,42.75,37.22,23.12
Exceptional Items,0.00,1.65,0.00,0.00,0.13
Profit/Loss Before Tax,71.53,59.25,42.75,37.22,23.24
Tax Expenses-Continued Operations,,,,
Current Tax,24.51,19.20,11.32,11.47,8.40
Deferred Tax,-0.22,-0.52,1.63,-0.17,-0.75
Tax For Earlier Years,-0.17,0.00,0.00,0.00,0.00
Total Tax Expenses,24.13,18.68,12.95,11.30,7.65
Profit/Loss After Tax And Before ExtraOrdinary Items,47.40,40.57,29.79,25.92,15.59
Profit/Loss From Continuing Operations,47.40,40.57,29.79,25.92,15.59
Profit/Loss For The Period,47.40,40.57,29.79,25.92,15.59
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),21.60,18.49,27.16,23.62,24.77
Diluted EPS (Rs.),21.60,18.49,27.16,23.62,24.77
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,5.04,1.37,0.39,0.01,0.00
Indigenous Raw Materials,374.87,363.22,321.46,283.14,0.00
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,11.52,10.97,8.23,6.58,3.66
Tax On Dividend,2.35,2.21,1.40,1.12,0.59
Equity Dividend Rate (%),105.00,100.00,75.00,60.00,50.00
