,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],23.36,21.73,25.41,25.07,30.17
Revenue From Operations [Net],23.36,21.73,25.41,25.07,30.17
Other Operating Revenues,1.39,1.84,1.17,2.61,3.69
Total Operating Revenues,24.74,23.57,26.57,27.68,33.86
Other Income,1.53,1.19,1.22,1.69,1.56
Total Revenue,26.28,24.76,27.79,29.37,35.42
EXPENSES,,,,
Cost Of Materials Consumed,3.17,2.94,4.63,2.68,4.00
Purchase Of Stock-In Trade,8.76,9.65,5.70,11.85,11.17
Operating And Direct Expenses,3.84,4.24,2.89,5.91,4.67
Changes In Inventories Of FG/WIP And Stock-In Trade,-0.82,-3.29,2.11,-3.57,1.92
Employee Benefit Expenses,3.61,3.14,3.11,3.22,3.19
Finance Costs,0.59,0.10,0.94,0.72,0.24
Depreciation And Amortisation Expenses,2.13,2.35,1.46,0.89,0.83
Other Expenses,3.52,3.00,3.44,3.62,3.43
Total Expenses,24.78,22.13,24.29,25.32,29.45
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,1.49,2.63,3.50,4.05,5.97
Exceptional Items,4.77,0.00,0.00,0.00,0.00
Profit/Loss Before Tax,6.26,2.63,3.50,4.05,5.97
Tax Expenses-Continued Operations,,,,
Current Tax,1.91,0.85,0.71,0.82,1.14
Deferred Tax,0.03,0.17,0.21,-0.10,0.10
Total Tax Expenses,1.94,1.02,0.91,0.72,1.23
Profit/Loss After Tax And Before ExtraOrdinary Items,4.32,1.61,2.58,3.33,4.73
Extraordinary Items,0.00,0.00,0.00,-0.02,0.00
Profit/Loss From Continuing Operations,4.32,1.61,2.58,3.31,4.73
Profit/Loss For The Period,4.32,1.61,2.58,3.31,4.73
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),6.50,2.42,3.89,4.98,7.13
Diluted EPS (Rs.),6.50,2.42,3.89,4.98,7.13
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,1.75,3.27,2.42,0.62,1.09
Indigenous Raw Materials,10.17,9.32,7.91,13.91,14.09
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,1.66,0.66,1.33,1.66,2.65
Tax On Dividend,0.34,0.11,0.22,0.27,0.43
Equity Dividend Rate (%),25.00,10.00,20.00,25.00,40.00
