,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],4568.18,4198.85,3723.25,3319.39,2890.80
Less: Excise/Sevice Tax/Other Levies,448.10,406.43,350.53,306.40,239.13
Revenue From Operations [Net],4120.08,3792.42,3372.72,3012.99,2651.67
Other Operating Revenues,12.54,14.09,12.10,11.22,10.42
Total Operating Revenues,4132.62,3806.51,3384.82,3024.21,2662.09
Other Income,34.69,34.19,30.59,30.76,30.62
Total Revenue,4167.31,3840.70,3415.41,3054.97,2692.71
EXPENSES,,,,
Cost Of Materials Consumed,1926.56,1923.23,1772.94,1677.46,1614.37
Purchase Of Stock-In Trade,385.08,327.64,306.19,235.78,167.04
Changes In Inventories Of FG/WIP And Stock-In Trade,-24.00,-24.73,-27.19,-41.49,-73.18
Employee Benefit Expenses,204.43,178.21,158.74,139.96,122.32
Finance Costs,17.20,34.72,34.26,27.67,22.37
Depreciation And Amortisation Expenses,87.97,78.62,58.27,46.28,37.56
Other Expenses,1033.08,926.76,784.50,676.18,554.06
Total Expenses,3630.32,3444.45,3087.71,2761.84,2444.54
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,536.99,396.25,327.70,293.13,248.17
Profit/Loss Before Tax,536.99,396.25,327.70,293.13,248.17
Tax Expenses-Continued Operations,,,,
Current Tax,172.00,121.62,84.08,79.16,67.30
Deferred Tax,13.50,8.60,9.37,4.17,3.48
Tax For Earlier Years,-3.38,0.00,0.00,0.00,0.00
Total Tax Expenses,182.12,130.22,93.45,83.33,70.78
Profit/Loss After Tax And Before ExtraOrdinary Items,354.87,266.03,234.25,209.80,177.39
Profit/Loss From Continuing Operations,354.87,266.03,234.25,209.80,177.39
Profit/Loss For The Period,354.87,266.03,234.25,209.80,177.39
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),5.12,3.84,6.76,6.06,5.13
Diluted EPS (Rs.),5.12,3.84,6.76,6.05,5.12
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,552.65,494.25,401.74,357.66,278.20
Indigenous Raw Materials,1076.59,1142.51,1121.19,1094.00,1120.49
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,0.16,0.26,0.43,0.22,0.30
Indigenous Stores And Spares,9.44,8.52,9.00,9.68,8.17
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,114.43,86.66,76.23,62.33,48.46
Tax On Dividend,23.30,17.69,12.95,10.60,7.86
Equity Dividend Rate (%),165.00,125.00,110.00,90.00,70.00
