,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],252.85,433.42,385.58,137.41,64.42
Less: Excise/Sevice Tax/Other Levies,17.47,23.79,20.53,9.65,4.04
Revenue From Operations [Net],235.37,409.63,365.05,127.76,60.38
Other Operating Revenues,3.08,2.75,2.35,1.47,1.42
Total Operating Revenues,238.46,412.38,367.40,129.23,61.80
Other Income,1.93,2.63,2.58,0.26,1.22
Total Revenue,240.39,415.02,369.98,129.49,63.01
EXPENSES,,,,
Cost Of Materials Consumed,114.05,128.12,129.23,82.85,40.69
Purchase Of Stock-In Trade,11.17,133.59,136.27,12.05,15.98
Operating And Direct Expenses,51.81,90.62,73.30,21.84,0.57
Changes In Inventories Of FG/WIP And Stock-In Trade,20.83,-8.44,-11.66,2.53,-0.95
Employee Benefit Expenses,3.90,4.28,2.41,1.38,1.25
Finance Costs,1.30,2.13,1.41,1.46,1.46
Depreciation And Amortisation Expenses,3.39,1.48,0.85,0.73,0.80
Other Expenses,10.20,8.48,15.56,4.89,3.88
Total Expenses,216.64,360.26,347.35,127.72,63.68
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,23.75,54.76,22.63,1.77,-0.67
Profit/Loss Before Tax,23.75,54.76,22.63,1.77,-0.67
Tax Expenses-Continued Operations,,,,
Current Tax,6.30,16.70,7.40,0.46,0.00
Deferred Tax,2.11,1.31,0.49,0.10,-0.23
Tax For Earlier Years,0.01,0.14,-0.67,-0.05,0.03
Total Tax Expenses,8.42,18.15,7.22,0.51,-0.20
Profit/Loss After Tax And Before ExtraOrdinary Items,15.33,36.61,15.40,1.26,-0.47
Profit/Loss From Continuing Operations,15.33,36.61,15.40,1.26,-0.47
Profit/Loss For The Period,15.33,36.61,15.40,1.26,-0.47
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),19.25,45.97,19.35,1.59,-0.82
Diluted EPS (Rs.),19.25,45.97,19.35,1.59,-0.82
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,21.06,23.72,21.59,10.95,3.46
Indigenous Raw Materials,92.99,102.50,98.75,72.44,35.71
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,3.98,3.98,2.79,0.64,0.40
Tax On Dividend,0.74,0.82,0.47,0.10,0.06
Equity Dividend Rate (%),50.00,50.00,35.00,8.00,5.00
