,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],10546.87,9742.86,8928.33,8219.62,7546.45
Less: Excise/Sevice Tax/Other Levies,20.00,19.20,23.23,20.96,14.43
Revenue From Operations [Net],10526.87,9723.66,8905.10,8198.66,7532.02
Other Operating Revenues,0.45,14.09,5.47,3.34,6.16
Total Operating Revenues,10527.32,9737.74,8910.57,8202.00,7538.17
Other Income,94.12,105.08,104.98,81.02,80.05
Total Revenue,10621.45,9842.82,9015.55,8283.02,7618.22
EXPENSES,,,,
Cost Of Materials Consumed,2465.40,2811.81,2562.19,2191.28,1937.70
Purchase Of Stock-In Trade,4077.84,2893.94,1870.59,3119.72,2503.03
Operating And Direct Expenses,383.81,312.15,227.97,47.08,54.21
Changes In Inventories Of FG/WIP And Stock-In Trade,-306.91,-52.67,561.99,-629.17,-154.56
Employee Benefit Expenses,320.08,332.00,409.77,369.96,338.80
Finance Costs,146.70,163.18,207.43,138.25,129.77
Depreciation And Amortisation Expenses,201.47,216.49,282.37,267.06,308.39
Other Expenses,2728.03,2706.70,2604.17,2418.93,2037.35
Total Expenses,10016.43,9383.59,8726.46,7923.12,7154.70
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,605.01,459.24,289.08,359.90,463.52
Exceptional Items,-279.43,0.00,0.00,11.96,0.00
Profit/Loss Before Tax,325.58,459.24,289.08,371.85,463.52
Tax Expenses-Continued Operations,,,,
Current Tax,210.01,163.52,111.56,130.06,193.40
Deferred Tax,-29.67,16.94,2.96,29.47,0.38
Tax For Earlier Years,-3.21,-0.74,-59.95,0.20,140.88
Total Tax Expenses,177.13,179.72,54.57,159.73,334.66
Profit/Loss After Tax And Before ExtraOrdinary Items,148.45,279.52,234.52,212.13,128.86
Profit/Loss From Continuing Operations,148.45,279.52,234.52,212.13,128.86
Profit/Loss For The Period,148.45,279.52,234.52,212.13,128.86
Minority Interest,67.64,15.09,9.61,26.39,29.45
Consolidated Profit/Loss After MI And Associates,216.09,294.61,244.12,238.52,158.31
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),5.00,7.00,6.00,6.00,4.00
Diluted EPS (Rs.),5.00,7.00,6.00,6.00,4.00
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,79.08,79.08,79.08,79.08,79.08
Tax On Dividend,15.14,16.10,13.44,13.44,12.83
