,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],5634.64,5484.10,4908.40,4327.06,3987.49
Revenue From Operations [Net],5634.64,5484.10,4908.40,4327.06,3987.49
Other Operating Revenues,107.94,89.60,76.15,79.10,73.46
Total Operating Revenues,5742.58,5573.70,4984.55,4406.16,4060.95
Other Income,344.66,370.74,371.72,337.22,316.54
Total Revenue,6087.24,5944.44,5356.27,4743.38,4377.49
EXPENSES,,,,
Operating And Direct Expenses,4210.47,3830.76,3512.78,3056.96,2776.17
Employee Benefit Expenses,153.88,157.92,123.51,107.23,99.91
Depreciation And Amortisation Expenses,364.60,372.69,189.33,172.71,158.49
Other Expenses,296.69,288.50,246.40,194.40,161.14
Total Expenses,5025.64,4649.87,4072.02,3531.30,3195.71
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,1061.60,1294.57,1284.25,1212.08,1181.78
Profit/Loss Before Tax,1061.60,1294.57,1284.25,1212.08,1181.78
Tax Expenses-Continued Operations,,,,
Current Tax,284.30,301.10,265.20,241.57,236.52
Deferred Tax,-10.26,-54.20,29.08,31.47,15.22
Tax For Earlier Years,0.00,0.00,5.21,-0.99,52.16
Total Tax Expenses,274.04,246.90,299.49,272.05,303.90
Profit/Loss After Tax And Before ExtraOrdinary Items,787.56,1047.67,984.76,940.03,877.88
Extraordinary Items,-0.63,-0.12,0.00,0.00,0.00
Profit/Loss From Continuing Operations,786.93,1047.55,984.76,940.03,877.88
Profit/Loss For The Period,786.93,1047.55,984.76,940.03,877.88
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),40.36,53.73,50.51,72.32,67.54
Diluted EPS (Rs.),40.36,53.73,50.51,72.32,67.54
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,1.77,1.12,0.31,0.11,0.38
Indigenous Stores And Spares,7.01,7.95,9.15,6.81,4.66
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,263.21,261.27,239.82,227.47,214.47
Tax On Dividend,53.58,52.62,40.76,37.86,34.79
Equity Dividend Rate (%),135.00,134.00,123.00,175.00,165.00
