,Mar 16,Mar 15,Mar 14,Sep 12,Sep 11
,12 mths,12 mths,18 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],3536.75,4038.09,6400.49,3981.05,3236.12
Less: Excise/Sevice Tax/Other Levies,80.70,75.81,132.87,103.32,25.96
Revenue From Operations [Net],3456.05,3962.28,6267.62,3877.73,3210.16
Other Operating Revenues,16.16,23.55,23.89,16.15,28.00
Total Operating Revenues,3472.21,3985.83,6291.51,3893.88,3238.16
Other Income,57.79,60.65,81.41,48.90,41.66
Total Revenue,3530.00,4046.48,6372.92,3942.78,3279.82
EXPENSES,,,,
Cost Of Materials Consumed,2171.06,2561.50,4224.15,2674.60,2110.35
Purchase Of Stock-In Trade,228.28,205.05,303.74,227.73,239.94
Changes In Inventories Of FG/WIP And Stock-In Trade,-5.31,82.07,-17.41,-57.81,-34.87
Employee Benefit Expenses,420.62,431.83,667.35,406.12,327.93
Finance Costs,51.29,57.11,110.67,96.44,55.77
Depreciation And Amortisation Expenses,60.11,66.06,83.22,48.43,37.97
Other Expenses,497.57,543.98,732.44,461.00,446.76
Total Expenses,3423.62,3947.60,6104.16,3856.51,3183.85
,Mar 16,Mar 15,Mar 14,Sep 12,Sep 11
,12 mths,12 mths,18 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,106.38,98.88,268.76,86.27,95.97
Exceptional Items,-14.51,-30.63,3.64,1.68,4.65
Profit/Loss Before Tax,91.87,68.25,272.40,87.95,100.62
Tax Expenses-Continued Operations,,,,
Current Tax,15.38,15.52,64.97,19.47,30.37
Less: MAT Credit Entitlement,8.97,3.29,27.28,14.31,0.00
Deferred Tax,8.50,-18.69,-10.18,13.19,-11.35
Tax For Earlier Years,-12.42,0.00,0.00,0.00,-38.49
Total Tax Expenses,2.49,-6.46,27.51,18.35,-19.47
Profit/Loss After Tax And Before ExtraOrdinary Items,89.38,74.71,244.89,69.60,120.09
Profit/Loss From Continuing Operations,89.38,74.71,244.89,69.60,120.09
Profit/Loss For The Period,89.38,74.71,244.89,69.60,120.09
,Mar 16,Mar 15,Mar 14,Sep 12,Sep 11
,12 mths,12 mths,18 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),7.49,6.26,20.53,5.84,11.74
Diluted EPS (Rs.),7.49,6.26,20.53,5.84,11.66
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,71.88,41.73,71.05,41.11,24.64
Indigenous Raw Materials,2135.66,2558.93,4216.82,2667.98,2117.02
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,14.71,14.71,22.06,14.71,15.84
Tax On Dividend,2.99,2.99,3.75,2.39,2.57
Equity Dividend Rate (%),12.00,12.00,18.00,12.00,15.00
