,Mar 16,Mar 15,Dec 13,Dec 12,Dec 11
,12 mths,15 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],1426.78,1615.26,1206.71,1254.76,1201.68
Less: Excise/Sevice Tax/Other Levies,135.25,130.57,108.79,112.98,93.98
Revenue From Operations [Net],1291.53,1484.69,1097.92,1141.78,1107.70
Other Operating Revenues,36.20,51.84,39.05,44.86,44.42
Total Operating Revenues,1327.73,1536.53,1136.97,1186.64,1152.12
Other Income,35.43,37.43,22.57,14.09,17.02
Total Revenue,1363.16,1573.95,1159.54,1200.73,1169.14
EXPENSES,,,,
Cost Of Materials Consumed,456.46,551.13,394.84,432.00,428.19
Purchase Of Stock-In Trade,48.68,53.79,37.77,36.00,36.56
Changes In Inventories Of FG/WIP And Stock-In Trade,5.30,-33.27,-20.55,-11.08,-24.41
Employee Benefit Expenses,284.61,319.50,236.16,235.11,213.32
Finance Costs,28.42,36.97,26.78,29.88,24.86
Depreciation And Amortisation Expenses,75.18,89.37,66.14,61.94,53.66
Other Expenses,392.72,509.01,388.05,424.46,390.15
Total Expenses,1291.36,1526.50,1129.18,1208.31,1122.32
,Mar 16,Mar 15,Dec 13,Dec 12,Dec 11
,12 mths,15 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,71.80,47.46,30.36,-7.58,46.81
Exceptional Items,0.00,0.00,0.00,-6.26,0.00
Profit/Loss Before Tax,71.80,47.46,30.36,-13.84,46.81
Tax Expenses-Continued Operations,,,,
Current Tax,18.77,25.00,8.85,2.89,16.27
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.09,3.93
Deferred Tax,7.04,-10.90,0.93,-0.28,-1.16
Tax For Earlier Years,1.98,2.00,0.00,0.00,0.00
Total Tax Expenses,27.80,16.10,9.77,2.52,11.18
Profit/Loss After Tax And Before ExtraOrdinary Items,44.01,31.36,20.59,-16.36,35.64
Prior Period Items,0.00,0.00,0.00,0.00,1.83
Profit/Loss From Continuing Operations,44.01,31.36,20.59,-16.36,37.46
Profit/Loss For The Period,44.01,31.36,20.59,-16.36,37.46
,Mar 16,Mar 15,Dec 13,Dec 12,Dec 11
,12 mths,15 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),7.91,5.64,3.70,-2.94,6.73
Diluted EPS (Rs.),7.91,5.64,3.70,-2.94,6.73
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,126.01,133.77,88.26,168.51,164.26
Indigenous Raw Materials,330.45,417.36,306.58,263.49,263.93
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,8.83,10.72,6.54,140.60,122.25
Indigenous Stores And Spares,106.57,129.06,117.46,13.92,10.34
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
