,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],357.02,344.64,330.13,247.99,275.34
Revenue From Operations [Net],357.02,344.64,330.13,247.99,275.34
Other Operating Revenues,0.37,2.18,1.42,1.98,3.50
Total Operating Revenues,357.38,346.81,331.55,249.97,278.84
Other Income,34.30,9.50,5.07,5.17,5.05
Total Revenue,391.69,356.31,336.62,255.14,283.89
EXPENSES,,,,
Aircraft Fuel Expenses,14.39,16.25,17.07,14.27,19.71
Aircraft Lease Rentals,98.55,85.37,77.14,64.53,62.20
Operating And Direct Expenses,60.00,50.59,61.73,38.11,42.36
Employee Benefit Expenses,70.80,69.11,63.06,57.31,58.81
Finance Costs,15.07,16.71,21.21,27.69,40.50
Depreciation And Amortisation Expenses,30.46,25.72,29.24,30.38,25.91
Other Expenses,63.38,46.80,58.29,42.93,58.55
Total Expenses,352.64,310.55,327.73,275.22,308.05
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,39.04,45.77,8.89,-20.08,-24.16
Exceptional Items,-13.38,5.00,0.00,26.93,0.00
Profit/Loss Before Tax,25.66,50.77,8.89,6.85,-24.16
Tax Expenses-Continued Operations,,,,
Current Tax,4.92,2.43,0.00,0.00,0.00
Less: MAT Credit Entitlement,4.92,0.00,0.00,0.00,0.00
Deferred Tax,11.57,16.18,3.40,0.00,0.00
Tax For Earlier Years,1.19,0.00,0.00,0.00,0.00
Total Tax Expenses,12.75,18.62,3.40,0.00,0.00
Profit/Loss After Tax And Before ExtraOrdinary Items,12.91,32.15,5.49,6.85,-24.16
Prior Period Items,0.00,-9.03,0.00,0.00,0.00
Profit/Loss From Continuing Operations,12.91,23.12,5.49,6.85,-24.16
Profit/Loss For The Period,12.91,23.12,5.49,6.85,-24.16
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),9.22,13.42,0.91,1.91,-17.26
Diluted EPS (Rs.),9.22,13.42,0.91,1.91,-17.26
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,21.73,14.17,16.50,11.91,9.13
Indigenous Stores And Spares,4.59,8.74,7.07,5.11,3.89
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
