,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],1717.54,1617.31,2308.24,2121.51,1777.30
Less: Excise/Sevice Tax/Other Levies,61.83,56.72,93.12,77.45,70.87
Revenue From Operations [Net],1655.71,1560.58,2215.11,2044.06,1706.42
Other Operating Revenues,0.77,3.67,1.78,3.85,1.69
Total Operating Revenues,1656.48,1564.25,2216.89,2047.91,1708.11
Other Income,4.47,1.09,8.03,6.51,5.91
Group Share In Joint Ventures,1.19,2.49,0.00,0.00,0.00
Total Revenue,1662.14,1567.83,2224.92,2054.42,1714.02
EXPENSES,,,,
Cost Of Materials Consumed,701.50,726.83,1166.56,1114.82,923.66
Purchase Of Stock-In Trade,203.82,190.55,142.36,95.57,120.43
Changes In Inventories Of FG/WIP And Stock-In Trade,14.99,-8.28,-25.19,-24.97,-22.81
Employee Benefit Expenses,169.66,144.98,221.10,181.85,145.39
Finance Costs,28.74,35.91,60.17,61.92,61.27
Depreciation And Amortisation Expenses,50.03,47.06,59.57,53.62,48.30
Other Expenses,324.99,305.34,447.50,414.15,369.33
Total Expenses,1493.73,1442.39,2072.08,1896.96,1645.57
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,168.40,125.44,152.83,157.46,68.45
Exceptional Items,0.00,15.76,0.00,0.00,0.00
Profit/Loss Before Tax,168.40,141.20,152.83,157.46,68.45
Tax Expenses-Continued Operations,,,,
Current Tax,36.94,29.41,31.48,30.59,13.16
Less: MAT Credit Entitlement,-6.30,9.64,5.32,-0.16,10.34
Deferred Tax,-1.10,-2.78,8.46,7.04,8.93
Tax For Earlier Years,0.00,-0.02,0.64,0.00,0.00
Total Tax Expenses,42.14,16.97,35.26,37.78,11.74
Profit/Loss After Tax And Before ExtraOrdinary Items,126.26,124.23,117.58,119.68,56.71
Extraordinary Items,1.43,0.00,0.00,0.00,0.00
Profit/Loss From Continuing Operations,127.69,124.23,117.58,119.68,56.71
Profit/Loss For The Period,127.69,124.23,117.58,119.68,56.71
Minority Interest,0.00,0.00,-0.01,-0.02,0.00
Consolidated Profit/Loss After MI And Associates,127.69,124.23,117.57,119.66,56.71
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),11.00,51.00,49.00,50.00,23.00
Diluted EPS (Rs.),11.00,51.00,49.00,50.00,23.00
Imported Raw Materials,227.65,243.69,530.52,462.78,315.23
Indigenous Raw Materials,473.84,483.14,636.04,652.04,608.44
Imported Stores And Spares,3.73,2.44,1.18,1.26,1.46
Indigenous Stores And Spares,12.61,16.04,12.64,12.22,14.81
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,7.24,7.24,7.24,7.24,4.83
Tax On Dividend,1.47,1.47,1.23,1.23,0.78
