,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],2178.62,2157.17,2087.50,1992.51,1862.57
Less: Excise/Sevice Tax/Other Levies,222.64,225.36,204.65,198.20,164.35
Revenue From Operations [Net],1955.97,1931.81,1882.85,1794.31,1698.22
Other Operating Revenues,10.13,16.31,13.21,20.29,12.75
Total Operating Revenues,1966.10,1948.12,1896.06,1814.60,1710.97
Other Income,46.23,48.95,30.27,18.70,11.77
Total Revenue,2012.32,1997.07,1926.33,1833.31,1722.74
EXPENSES,,,,
Cost Of Materials Consumed,668.90,675.57,717.22,714.75,720.80
Purchase Of Stock-In Trade,12.98,6.14,0.00,0.00,8.86
Changes In Inventories Of FG/WIP And Stock-In Trade,-1.95,25.04,-4.47,3.71,-30.57
Employee Benefit Expenses,162.34,167.00,151.44,118.90,118.13
Finance Costs,8.08,9.34,6.36,8.34,20.53
Depreciation And Amortisation Expenses,107.10,98.06,150.65,151.52,138.95
Other Expenses,789.77,800.46,658.40,481.93,506.43
Total Expenses,1747.23,1781.59,1679.60,1479.14,1483.13
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,265.09,215.48,246.73,354.17,239.62
Exceptional Items,0.00,0.00,0.00,-17.20,-15.99
Profit/Loss Before Tax,265.09,215.48,246.73,336.97,223.63
Tax Expenses-Continued Operations,,,,
Current Tax,54.25,43.33,67.30,102.37,58.42
Less: MAT Credit Entitlement,51.47,43.33,0.00,0.00,0.00
Deferred Tax,40.64,-11.95,13.58,8.82,11.39
Tax For Earlier Years,0.00,-0.43,-19.35,-9.72,0.00
Total Tax Expenses,43.42,-12.38,61.53,101.48,69.81
Profit/Loss After Tax And Before ExtraOrdinary Items,221.67,227.86,185.20,235.49,153.82
Prior Period Items,0.00,0.00,-0.18,-0.14,-0.20
Profit/Loss From Continuing Operations,221.67,227.86,185.03,235.35,153.61
Profit/Loss For The Period,221.67,227.86,185.03,235.35,153.61
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),30.18,31.03,25.20,32.05,20.92
Diluted EPS (Rs.),30.18,31.03,25.20,32.05,20.92
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,223.19,159.40,158.93,151.50,153.47
Indigenous Raw Materials,445.71,516.17,558.29,563.25,567.33
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,2.55,3.19,1.73,1.62,6.81
Indigenous Stores And Spares,28.62,26.64,20.27,23.72,32.74
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,33.05,33.05,29.37,25.70,22.03
Tax On Dividend,6.73,6.73,4.99,4.37,3.57
Equity Dividend Rate (%),45.00,45.00,40.00,35.00,30.00
