,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],747.44,409.29,970.21,1821.19,1437.34
Less: Excise/Sevice Tax/Other Levies,15.97,30.35,37.83,108.15,65.16
Revenue From Operations [Net],731.47,378.94,932.38,1713.04,1372.18
Total Operating Revenues,731.47,378.94,932.38,1713.04,1372.18
Other Income,73.31,92.87,318.26,38.90,28.09
Total Revenue,804.78,471.81,1250.64,1751.94,1400.27
EXPENSES,,,,
Cost Of Materials Consumed,247.84,397.56,854.25,1077.84,1285.50
Purchase Of Stock-In Trade,524.91,0.00,409.49,139.89,0.00
Operating And Direct Expenses,45.33,81.77,75.55,93.03,95.20
Changes In Inventories Of FG/WIP And Stock-In Trade,732.61,-44.35,211.48,-101.47,-440.91
Employee Benefit Expenses,34.22,47.25,44.08,60.27,54.58
Finance Costs,270.69,317.91,331.39,263.02,208.57
Depreciation And Amortisation Expenses,64.90,61.87,61.30,58.33,56.77
Other Expenses,39.54,37.62,50.03,66.81,74.90
Total Expenses,1960.04,899.63,2037.57,1657.72,1334.61
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-1155.26,-427.82,-786.93,94.22,65.66
Exceptional Items,0.00,0.00,-47.47,-47.96,-60.13
Profit/Loss Before Tax,-1155.26,-427.82,-834.40,46.26,5.53
Tax Expenses-Continued Operations,,,,
Current Tax,0.00,0.00,0.00,9.26,1.11
Less: MAT Credit Entitlement,0.00,0.00,0.00,-10.80,1.10
Deferred Tax,-385.20,-138.80,-273.32,-5.04,1.97
Tax For Earlier Years,2.31,0.00,-0.27,0.27,0.46
Total Tax Expenses,-382.89,-138.80,-273.59,15.29,2.44
Profit/Loss After Tax And Before ExtraOrdinary Items,-772.37,-289.02,-560.81,30.97,3.09
Extraordinary Items,-33.19,-32.71,0.00,0.00,0.00
Profit/Loss From Continuing Operations,-805.56,-321.73,-560.81,30.97,3.09
Profit/Loss For The Period,-805.56,-321.73,-560.81,30.97,3.09
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-6.94,-4.66,-8.95,0.52,0.05
Diluted EPS (Rs.),-6.94,-4.66,-8.95,0.52,0.05
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,75.65,212.24,736.06,941.58,1187.15
Indigenous Raw Materials,172.19,185.32,118.20,136.26,98.36
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,0.00,0.00,0.00,0.00,28.87
Tax On Dividend,0.00,0.00,0.00,0.00,4.69
Equity Dividend Rate (%),0.00,0.00,0.00,0.00,5.00
