,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],87.30,74.44,51.70,222.05,234.47
Less: Excise/Sevice Tax/Other Levies,9.41,7.01,4.39,18.78,18.57
Revenue From Operations [Net],77.89,67.43,47.32,203.28,215.89
Other Operating Revenues,0.00,0.03,0.23,2.08,1.89
Total Operating Revenues,77.89,67.46,47.54,205.35,217.78
Other Income,15.24,19.28,12.41,5.64,4.94
Total Revenue,93.13,86.74,59.95,211.00,222.72
EXPENSES,,,,
Cost Of Materials Consumed,55.96,55.72,29.56,132.35,142.10
Changes In Inventories Of FG/WIP And Stock-In Trade,0.00,-2.82,5.83,0.76,6.39
Employee Benefit Expenses,5.55,4.92,3.79,10.68,9.62
Finance Costs,9.97,10.65,3.81,5.46,4.66
Depreciation And Amortisation Expenses,2.20,2.40,1.47,3.88,3.49
Other Expenses,23.53,15.54,18.84,31.33,28.37
Total Expenses,97.22,86.40,63.30,184.46,194.63
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-4.08,0.34,-3.35,26.54,28.09
Exceptional Items,0.00,0.00,136.80,3.60,0.00
Profit/Loss Before Tax,-4.08,0.34,133.45,30.13,28.09
Tax Expenses-Continued Operations,,,,
Current Tax,0.00,2.95,0.00,8.10,8.50
Deferred Tax,-0.42,-0.02,-2.51,0.33,1.35
Total Tax Expenses,-0.42,2.93,-2.51,8.43,9.85
Profit/Loss After Tax And Before ExtraOrdinary Items,-3.67,-2.58,135.97,21.71,18.25
Profit/Loss From Continuing Operations,-3.67,-2.58,135.97,21.71,18.25
Profit/Loss For The Period,-3.67,-2.58,135.97,21.71,18.25
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-2.68,-1.70,85.29,13.10,11.01
Diluted EPS (Rs.),-2.47,-1.68,82.25,13.10,11.01
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,1.24,1.40,0.25,7.78,6.63
Indigenous Raw Materials,54.72,54.32,29.31,124.57,135.47
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,3.42,3.79,3.99,16.58,4.14
Tax On Dividend,0.70,0.78,0.68,2.69,0.67
Equity Dividend Rate (%),25.00,25.00,25.00,100.00,25.00
