,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],182.75,197.42,308.26,325.01,240.51
Less: Excise/Sevice Tax/Other Levies,24.53,21.63,32.81,38.57,28.09
Revenue From Operations [Net],158.23,175.80,275.45,286.44,212.42
Other Operating Revenues,1.10,0.57,1.62,0.86,3.73
Total Operating Revenues,159.33,176.36,277.07,287.30,216.15
Other Income,4.58,1.55,4.46,1.64,0.54
Total Revenue,163.90,177.91,281.53,288.94,216.70
EXPENSES,,,,
Cost Of Materials Consumed,138.80,100.34,187.25,188.31,144.86
Purchase Of Stock-In Trade,0.70,43.17,67.32,64.09,48.60
Operating And Direct Expenses,14.35,10.40,9.86,9.47,13.00
Changes In Inventories Of FG/WIP And Stock-In Trade,-0.98,3.59,-2.10,6.23,-8.63
Employee Benefit Expenses,1.61,1.54,1.38,1.57,1.38
Finance Costs,11.68,10.51,10.72,10.40,8.50
Depreciation And Amortisation Expenses,10.58,5.58,4.12,3.68,3.62
Other Expenses,2.35,1.78,2.10,2.64,1.36
Total Expenses,179.09,176.91,280.66,286.38,212.68
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-15.18,1.00,0.87,2.56,4.02
Profit/Loss Before Tax,-15.18,1.00,0.87,2.56,4.02
Tax Expenses-Continued Operations,,,,
Current Tax,0.00,0.21,0.44,0.70,0.84
Deferred Tax,-0.86,0.59,-0.14,0.28,0.66
Tax For Earlier Years,-1.07,0.00,0.02,0.00,-0.01
Total Tax Expenses,-1.93,0.80,0.32,0.98,1.49
Profit/Loss After Tax And Before ExtraOrdinary Items,-13.25,0.20,0.55,1.58,2.53
Profit/Loss From Continuing Operations,-13.25,0.20,0.55,1.58,2.53
Profit/Loss For The Period,-13.25,0.20,0.55,1.58,2.53
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-8.37,0.13,0.35,1.00,1.60
Diluted EPS (Rs.),-8.37,0.13,0.35,1.00,1.60
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,1.55,0.65,1.05,4.56,7.95
Indigenous Raw Materials,137.25,99.69,186.20,183.75,136.91
STORES/ SPARES AND LOOSE TOOLS,,,,
Indigenous Stores And Spares,0.47,0.33,0.35,0.30,0.31
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
