,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],1395.02,1431.48,1372.78,1276.07,1163.06
Less: Excise/Sevice Tax/Other Levies,107.31,101.98,92.37,78.97,74.05
Revenue From Operations [Net],1287.71,1329.50,1280.41,1197.10,1089.01
Other Operating Revenues,0.65,0.57,0.39,0.32,0.52
Total Operating Revenues,1288.36,1330.07,1280.79,1197.42,1089.53
Other Income,12.08,16.61,10.02,9.13,16.47
Total Revenue,1300.44,1346.68,1290.81,1206.55,1106.00
EXPENSES,,,,
Cost Of Materials Consumed,763.67,752.53,822.95,730.37,596.94
Purchase Of Stock-In Trade,3.49,4.21,2.83,10.25,29.24
Operating And Direct Expenses,158.02,148.51,134.90,154.36,108.87
Changes In Inventories Of FG/WIP And Stock-In Trade,6.00,63.93,-38.15,-71.85,0.98
Employee Benefit Expenses,102.81,94.82,128.40,117.89,116.00
Finance Costs,52.65,70.66,75.74,93.40,89.81
Depreciation And Amortisation Expenses,49.59,51.04,38.51,40.09,34.36
Other Expenses,122.48,120.62,130.07,114.50,101.32
Total Expenses,1258.70,1306.32,1295.24,1189.00,1077.52
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,41.74,40.35,-4.44,17.55,28.48
Exceptional Items,-8.96,-15.04,56.54,7.79,-6.78
Profit/Loss Before Tax,32.77,25.32,52.10,25.33,21.70
Tax Expenses-Continued Operations,,,,
Current Tax,16.00,14.60,11.03,5.13,0.00
Less: MAT Credit Entitlement,0.00,0.00,6.86,3.78,0.00
Deferred Tax,-2.56,-4.10,2.05,3.00,12.09
Other Direct Taxes,0.00,0.00,0.87,0.00,0.00
Tax For Earlier Years,-0.09,0.20,0.00,0.54,0.01
Total Tax Expenses,13.34,10.70,7.09,4.89,12.10
Profit/Loss After Tax And Before ExtraOrdinary Items,19.43,14.62,45.01,20.44,9.60
Profit/Loss From Continuing Operations,19.43,14.62,45.01,20.44,9.60
Profit/Loss For The Period,19.43,14.62,45.01,20.44,9.60
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),0.77,0.58,1.78,0.81,0.38
Diluted EPS (Rs.),0.77,0.58,1.78,0.81,0.38
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,163.00,230.65,324.95,317.47,236.83
Indigenous Raw Materials,600.67,521.88,498.00,412.90,360.11
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,6.33,5.06,5.06,3.80,3.80
Tax On Dividend,1.29,1.03,0.86,0.62,0.62
Equity Dividend Rate (%),25.00,20.00,20.00,15.00,15.00
