,Mar 16,Mar 15,Mar 15,Mar 14,Mar 13
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],51582.45,49964.82,49964.82,46712.62,41809.82
Less: Excise/Sevice Tax/Other Levies,15107.18,13881.61,13881.61,13830.06,12204.24
Revenue From Operations [Net],36475.27,36083.21,36083.21,32882.56,29605.58
Other Operating Revenues,362.12,424.19,424.19,356.04,295.69
Total Operating Revenues,36837.39,36507.40,36507.40,33238.60,29901.27
Other Income,1803.74,1543.13,1543.13,1107.14,938.70
Total Revenue,38641.13,38050.53,38050.53,34345.74,30839.97
EXPENSES,,,,
Cost Of Materials Consumed,11054.75,10987.83,10987.83,10263.28,8936.21
Purchase Of Stock-In Trade,2590.08,3898.66,3898.66,3021.47,3375.92
Changes In Inventories Of FG/WIP And Stock-In Trade,58.17,-214.53,-214.53,-128.41,-246.35
Employee Benefit Expenses,1883.51,1780.04,1780.04,1608.37,1387.01
Finance Costs,49.13,57.42,57.42,2.95,86.47
Depreciation And Amortisation Expenses,1034.45,961.74,961.74,899.92,795.56
Other Expenses,7012.65,6581.85,6581.85,6019.05,5820.97
Total Expenses,23682.74,24053.01,24053.01,21686.63,20155.79
,Mar 16,Mar 15,Mar 15,Mar 14,Mar 13
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,14958.39,13997.52,13997.52,12659.11,10684.18
Profit/Loss Before Tax,14958.39,13997.52,13997.52,12659.11,10684.18
Tax Expenses-Continued Operations,,,,
Current Tax,4948.76,4043.28,4043.28,3936.64,2989.06
Deferred Tax,166.47,353.15,353.15,25.84,289.80
Tax For Earlier Years,-1.55,-6.64,-6.64,-88.58,-13.07
Total Tax Expenses,5113.68,4389.79,4389.79,3873.90,3265.79
Profit/Loss After Tax And Before ExtraOrdinary Items,9844.71,9607.73,9607.73,8785.21,7418.39
Profit/Loss From Continuing Operations,9844.71,9607.73,9607.73,8785.21,7418.39
Profit/Loss For The Period,9844.71,9607.73,9607.73,8785.21,7418.39
,Mar 16,Mar 15,Mar 15,Mar 14,Mar 13
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),12.26,12.00,12.05,11.09,9.45
Diluted EPS (Rs.),12.20,12.00,11.93,10.96,9.33
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,1345.56,1523.07,1523.07,1249.66,1071.64
Indigenous Raw Materials,9709.19,9464.76,9464.76,9013.62,7864.57
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,69.93,66.13,66.13,85.77,65.89
Indigenous Stores And Spares,178.52,165.20,165.20,151.52,153.42
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,6840.12,5009.70,5009.70,4771.91,4148.46
Tax On Dividend,1392.48,1019.86,1019.86,810.99,705.03
Equity Dividend Rate (%),850.00,625.00,625.00,600.00,525.00
