,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],155.69,204.59,266.45,248.13,311.16
Less: Excise/Sevice Tax/Other Levies,2.52,5.25,10.00,11.58,14.08
Revenue From Operations [Net],153.17,199.34,256.45,236.55,297.08
Other Operating Revenues,2.63,4.43,5.57,6.90,13.34
Total Operating Revenues,155.80,203.77,262.02,243.45,310.41
Other Income,2.00,3.56,1.72,0.87,1.91
Total Revenue,157.79,207.33,263.73,244.32,312.32
EXPENSES,,,,
Cost Of Materials Consumed,94.60,120.20,180.38,154.96,218.25
Operating And Direct Expenses,28.49,29.17,30.33,25.47,25.51
Changes In Inventories Of FG/WIP And Stock-In Trade,-0.87,16.02,-8.16,11.27,-5.20
Employee Benefit Expenses,32.62,34.14,36.65,32.25,29.65
Finance Costs,47.63,43.15,40.57,36.58,34.57
Provsions and Contingencies,0.00,0.00,2.60,0.00,0.00
Depreciation And Amortisation Expenses,9.35,12.61,12.33,13.01,14.23
Other Expenses,24.33,33.15,41.86,36.23,40.52
Total Expenses,236.15,288.43,336.56,309.77,357.52
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-78.36,-81.09,-72.83,-65.45,-45.20
Profit/Loss Before Tax,-78.36,-81.09,-72.83,-65.45,-45.20
Tax Expenses-Continued Operations,,,,
Profit/Loss After Tax And Before ExtraOrdinary Items,-78.36,-81.09,-72.83,-65.45,-45.20
Profit/Loss From Continuing Operations,-78.36,-81.09,-72.83,-65.45,-45.20
Profit/Loss For The Period,-78.36,-81.09,-72.83,-65.45,-45.20
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-9.56,-9.89,-8.88,-7.98,-5.51
Diluted EPS (Rs.),-9.56,-9.89,-8.88,-7.98,-5.51
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,0.00,10.05,21.24,14.03,14.48
Indigenous Raw Materials,0.00,110.15,159.14,140.93,203.76
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,0.00,0.16,0.16,0.61,0.57
Indigenous Stores And Spares,0.00,10.83,10.99,9.49,11.59
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
