,Mar 16,Mar 15,Mar 14,Jun 13,Sep 12
,12 mths,12 mths,9 mths,9 mths,15 mths
INCOME,,,,
Revenue From Operations [Gross],223.97,160.25,87.20,71.46,134.63
Less: Excise/Sevice Tax/Other Levies,9.38,4.33,0.20,1.26,2.75
Revenue From Operations [Net],214.59,155.92,87.00,70.20,131.88
Other Operating Revenues,3.05,2.62,0.79,1.32,0.00
Total Operating Revenues,217.64,158.54,87.79,71.51,131.88
Other Income,3.39,3.60,1.75,5.09,7.94
Total Revenue,221.02,162.14,89.54,76.60,139.82
EXPENSES,,,,
Cost Of Materials Consumed,123.51,35.97,7.20,26.90,30.92
Purchase Of Stock-In Trade,67.68,102.19,74.83,38.38,71.45
Changes In Inventories Of FG/WIP And Stock-In Trade,-41.79,-9.96,-9.30,-16.79,-35.07
Employee Benefit Expenses,3.46,3.47,3.40,4.00,10.84
Finance Costs,0.47,6.51,8.64,12.12,25.44
Depreciation And Amortisation Expenses,7.51,7.67,4.45,4.48,7.64
Other Expenses,20.84,15.86,9.33,14.98,24.26
Total Expenses,181.68,161.72,98.54,84.08,135.48
,Mar 16,Mar 15,Mar 14,Jun 13,Sep 12
,12 mths,12 mths,9 mths,9 mths,15 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,39.34,0.42,-9.00,-7.48,4.34
Exceptional Items,-196.20,0.00,-53.88,0.00,0.00
Profit/Loss Before Tax,-156.86,0.42,-62.88,-7.48,4.34
Tax Expenses-Continued Operations,,,,
Less: MAT Credit Entitlement,0.00,-0.08,0.00,0.00,0.00
Deferred Tax,-45.98,-1.68,-11.86,7.39,-0.20
Tax For Earlier Years,0.00,-0.18,-6.55,0.00,-1.39
Total Tax Expenses,-45.98,-1.78,-18.41,7.39,-1.60
Profit/Loss After Tax And Before ExtraOrdinary Items,-110.89,2.20,-44.47,-14.87,5.93
Extraordinary Items,0.00,0.00,0.00,0.00,-69.07
Profit/Loss From Continuing Operations,-110.89,2.20,-44.47,-14.87,-63.13
Profit/Loss For The Period,-110.89,2.20,-44.47,-14.87,-63.13
,Mar 16,Mar 15,Mar 14,Jun 13,Sep 12
,12 mths,12 mths,9 mths,9 mths,15 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-7.71,0.18,-4.34,-1.45,-6.16
Diluted EPS (Rs.),-5.91,0.12,-2.47,1.45,-4.12
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,17.19,5.06,3.74,2.76,7.86
Indigenous Raw Materials,174.01,133.11,78.28,62.53,94.50
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
