,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],2273.65,2275.03,2036.47,1635.10,1422.06
Less: Excise/Sevice Tax/Other Levies,206.83,196.76,166.59,136.56,123.07
Revenue From Operations [Net],2066.82,2078.28,1869.88,1498.53,1298.99
Other Operating Revenues,12.11,16.65,15.27,15.85,10.04
Total Operating Revenues,2078.93,2094.93,1885.15,1514.38,1309.03
Other Income,42.70,40.71,34.49,31.86,19.37
Total Revenue,2121.63,2135.64,1919.65,1546.23,1328.40
EXPENSES,,,,
Purchase Of Stock-In Trade,1229.63,1295.81,1144.44,812.19,620.98
Changes In Inventories Of FG/WIP And Stock-In Trade,0.07,-0.09,-0.11,-0.03,-0.05
Employee Benefit Expenses,53.71,51.11,41.69,35.90,32.17
Finance Costs,2.95,1.21,0.21,1.07,0.29
Depreciation And Amortisation Expenses,84.06,79.91,80.72,71.11,63.84
Other Expenses,282.57,258.40,210.92,183.64,157.21
Total Expenses,1652.98,1686.34,1477.86,1103.88,874.43
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,468.65,449.29,441.78,442.35,453.97
Profit/Loss Before Tax,468.65,449.29,441.78,442.35,453.97
Tax Expenses-Continued Operations,,,,
Current Tax,144.55,133.10,135.50,129.24,139.50
Deferred Tax,15.41,15.19,9.03,14.61,6.73
Total Tax Expenses,159.96,148.29,144.53,143.85,146.23
Profit/Loss After Tax And Before ExtraOrdinary Items,308.69,301.00,297.25,298.51,307.74
Profit/Loss From Continuing Operations,308.69,301.00,297.25,298.51,307.74
Profit/Loss For The Period,308.69,301.00,297.25,298.51,307.74
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),34.55,33.69,33.27,33.41,34.45
Diluted EPS (Rs.),31.36,30.54,30.15,30.28,31.21
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,0.86,0.72,1.07,1.83,1.74
Indigenous Stores And Spares,22.85,17.38,13.31,12.51,10.41
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,156.35,156.35,156.35,156.35,134.01
Tax On Dividend,31.83,31.83,26.57,26.57,21.74
Equity Dividend Rate (%),175.00,175.00,175.00,175.00,150.00
