,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],811.00,1120.56,1368.90,1363.35,1733.52
Less: Excise/Sevice Tax/Other Levies,44.38,53.44,75.65,72.94,84.41
Revenue From Operations [Net],766.62,1067.12,1293.26,1290.41,1649.11
Other Operating Revenues,5.36,3.50,1.86,1.88,1.63
Total Operating Revenues,771.98,1070.62,1295.11,1292.29,1650.74
Other Income,3.26,10.38,1.80,2.01,2.55
Total Revenue,775.24,1080.99,1296.91,1294.30,1653.29
EXPENSES,,,,
Cost Of Materials Consumed,279.06,371.28,498.66,474.03,639.08
Purchase Of Stock-In Trade,284.42,449.89,535.37,537.35,653.10
Changes In Inventories Of FG/WIP And Stock-In Trade,13.60,-31.18,17.60,45.97,28.03
Employee Benefit Expenses,71.04,73.28,82.35,77.23,90.63
Finance Costs,28.79,32.92,38.13,38.72,35.20
Depreciation And Amortisation Expenses,11.63,14.15,14.33,15.79,21.55
Other Expenses,124.60,167.21,170.45,152.08,222.29
Total Expenses,813.13,1077.55,1356.88,1341.17,1689.89
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-37.89,3.44,-59.97,-46.88,-36.60
Exceptional Items,4.70,0.00,0.00,0.00,-5.01
Profit/Loss Before Tax,-33.19,3.44,-59.97,-46.88,-41.61
Tax Expenses-Continued Operations,,,,
Current Tax,-6.18,0.45,0.00,0.00,0.00
Deferred Tax,0.00,2.19,0.00,-15.45,-2.67
Tax For Earlier Years,0.00,0.00,0.00,-2.79,0.00
Total Tax Expenses,-6.18,2.64,0.00,-18.24,-2.67
Profit/Loss After Tax And Before ExtraOrdinary Items,-27.01,0.81,-59.97,-28.64,-38.94
Profit/Loss From Continuing Operations,-27.01,0.81,-59.97,-28.64,-38.94
Profit/Loss For The Period,-27.01,0.81,-59.97,-28.64,-38.94
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-1.38,0.05,-4.23,-2.02,-2.75
Diluted EPS (Rs.),-1.38,0.05,-4.23,-2.02,-2.75
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,224.14,292.49,405.13,303.49,439.78
Indigenous Raw Materials,54.92,78.79,93.52,170.54,199.30
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
