,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],1817.70,1438.66,1318.03,785.59,502.64
Revenue From Operations [Net],1817.70,1438.66,1318.03,785.59,502.64
Other Operating Revenues,51.11,38.46,30.08,19.73,5.86
Total Operating Revenues,1868.81,1477.12,1348.11,805.32,508.50
Other Income,28.28,8.86,10.72,9.06,13.31
Total Revenue,1897.09,1485.98,1358.83,814.38,521.81
EXPENSES,,,,
Purchase Of Stock-In Trade,0.00,0.00,0.00,0.38,0.08
Operating And Direct Expenses,543.79,449.56,421.80,254.90,173.65
Employee Benefit Expenses,185.30,143.04,129.49,79.62,56.27
Finance Costs,83.86,78.25,79.51,36.76,18.48
Depreciation And Amortisation Expenses,125.19,116.80,94.38,56.01,36.47
Miscellaneous Expenses Written Off,0.00,0.00,0.00,0.00,0.02
Other Expenses,809.81,683.71,584.55,353.54,203.67
Total Expenses,1747.95,1471.36,1309.73,781.20,488.64
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,149.14,14.62,49.10,33.19,33.17
Exceptional Items,-6.66,-2.17,3.21,-1.25,-2.37
Profit/Loss Before Tax,142.48,12.45,52.31,31.94,30.80
Tax Expenses-Continued Operations,,,,
Current Tax,30.68,4.61,14.04,9.42,7.39
Less: MAT Credit Entitlement,14.56,4.42,13.67,9.14,7.39
Deferred Tax,8.27,0.62,1.39,-2.00,0.00
Other Direct Taxes,0.00,0.00,0.00,0.00,6.21
Tax For Earlier Years,-1.18,0.00,0.16,-10.65,-0.49
Total Tax Expenses,23.21,0.81,1.92,-12.37,5.72
Profit/Loss After Tax And Before ExtraOrdinary Items,119.27,11.64,50.39,44.31,25.08
Prior Period Items,0.00,0.00,0.00,0.00,0.20
Profit/Loss From Continuing Operations,119.27,11.64,50.39,44.31,25.28
Profit/Loss For The Period,119.27,11.64,50.39,44.31,25.28
Minority Interest,-0.54,1.12,5.66,0.20,0.13
Consolidated Profit/Loss After MI And Associates,118.73,12.76,56.05,44.50,25.41
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),26.00,3.00,14.00,15.00,10.00
Diluted EPS (Rs.),26.00,3.00,14.00,15.00,9.00
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,9.35,4.15,10.28,3.97,15.44
Tax On Dividend,1.89,0.85,1.78,0.64,2.49
