,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],2543.49,2399.24,2688.81,3060.04,2516.65
Revenue From Operations [Net],2543.49,2399.24,2688.81,3060.04,2516.65
Other Operating Revenues,71.46,73.57,15.15,43.17,32.99
Total Operating Revenues,2614.94,2472.81,2703.96,3103.21,2549.64
Other Income,229.52,195.42,146.31,107.97,93.83
Total Revenue,2844.46,2668.23,2850.26,3211.18,2643.48
EXPENSES,,,,
Purchase Of Stock-In Trade,9.29,0.00,0.00,0.00,0.00
Operating And Direct Expenses,1813.97,1793.28,2115.13,2467.00,2060.99
Employee Benefit Expenses,113.20,95.70,96.13,79.57,68.10
Finance Costs,588.54,552.29,428.63,420.11,288.08
Depreciation And Amortisation Expenses,44.73,51.92,54.23,52.55,52.82
Other Expenses,289.38,153.17,119.90,115.23,77.92
Total Expenses,2859.11,2646.36,2814.02,3134.46,2547.91
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-14.65,21.87,36.24,76.73,95.56
Exceptional Items,-19.00,0.00,0.00,0.00,0.00
Profit/Loss Before Tax,-33.65,21.87,36.24,76.73,95.56
Tax Expenses-Continued Operations,,,,
Current Tax,0.65,17.21,15.30,33.17,32.00
Deferred Tax,-15.60,-7.22,-4.05,-5.66,3.13
Total Tax Expenses,-14.96,9.98,11.25,27.51,35.13
Profit/Loss After Tax And Before ExtraOrdinary Items,-18.69,11.89,25.00,49.22,60.43
Profit/Loss From Continuing Operations,-18.69,11.89,25.00,49.22,60.43
Profit/Loss For The Period,-18.69,11.89,25.00,49.22,60.43
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-2.43,1.55,3.28,7.05,8.65
Diluted EPS (Rs.),-2.43,1.55,3.25,7.05,8.65
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,0.56,2.49,6.98,9.70,16.96
Indigenous Stores And Spares,241.39,199.08,367.89,219.27,156.09
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,0.00,0.00,0.00,0.00,2.10
Tax On Dividend,0.00,0.00,0.00,0.00,0.34
Equity Dividend Rate (%),0.00,0.00,0.00,0.00,30.00
