,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],2114.03,2708.44,2529.15,2528.01,2404.43
Less: Excise/Sevice Tax/Other Levies,221.38,241.20,253.06,247.29,223.78
Revenue From Operations [Net],1892.65,2467.24,2276.10,2280.72,2180.65
Other Operating Revenues,2.07,2.95,1.36,4.19,6.13
Total Operating Revenues,1894.72,2470.19,2277.46,2284.91,2186.78
Other Income,17.95,14.42,20.51,9.27,10.44
Total Revenue,1912.67,2484.61,2297.98,2294.19,2197.22
EXPENSES,,,,
Cost Of Materials Consumed,1291.46,1864.41,1856.05,1889.63,1701.80
Purchase Of Stock-In Trade,17.48,32.94,0.00,0.00,0.00
Changes In Inventories Of FG/WIP And Stock-In Trade,35.61,43.09,-25.54,-26.03,-43.57
Employee Benefit Expenses,73.35,70.16,62.91,58.43,52.35
Finance Costs,70.91,94.80,80.23,72.13,67.63
Depreciation And Amortisation Expenses,54.97,57.53,53.74,50.79,48.59
Other Expenses,311.85,307.34,358.48,289.27,267.01
Total Expenses,1855.63,2470.28,2385.88,2334.23,2093.81
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,57.04,14.33,-87.91,-40.04,103.42
Profit/Loss Before Tax,57.04,14.33,-87.91,-40.04,103.42
Tax Expenses-Continued Operations,,,,
Current Tax,12.89,3.36,21.49,0.82,0.33
Deferred Tax,21.29,-1.67,-22.80,-20.22,15.97
Total Tax Expenses,34.18,1.69,-1.31,-19.39,16.30
Profit/Loss After Tax And Before ExtraOrdinary Items,22.86,12.64,-86.60,-20.65,87.12
Profit/Loss From Continuing Operations,22.86,12.64,-86.60,-20.65,87.12
Profit/Loss For The Period,22.86,12.64,-86.60,-20.65,87.12
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),6.63,3.67,-25.12,-5.99,25.82
Diluted EPS (Rs.),6.63,3.67,-25.12,-5.99,25.82
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,1018.28,1715.99,1497.32,1496.35,1343.45
Indigenous Raw Materials,273.18,148.42,358.74,393.28,358.36
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,2.12,3.51,1.45,1.27,1.54
Indigenous Stores And Spares,69.63,60.88,55.63,54.79,54.47
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,8.62,3.45,0.00,1.72,13.79
Tax On Dividend,1.75,0.70,0.00,0.29,2.24
Equity Dividend Rate (%),25.00,10.00,0.00,5.00,40.00
