,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],74.27,460.38,1180.27,937.62,798.03
Less: Excise/Sevice Tax/Other Levies,0.00,0.27,0.43,0.45,0.24
Revenue From Operations [Net],74.27,460.12,1179.84,937.17,797.79
Other Operating Revenues,2.33,4.99,16.91,9.19,0.46
Total Operating Revenues,76.60,465.11,1196.75,946.36,798.25
Other Income,0.71,5.56,7.40,7.45,10.86
Total Revenue,77.31,470.67,1204.15,953.81,809.11
EXPENSES,,,,
Cost Of Materials Consumed,54.05,361.72,1032.06,813.57,716.42
Operating And Direct Expenses,6.45,24.58,48.56,33.61,26.76
Changes In Inventories Of FG/WIP And Stock-In Trade,16.86,48.97,-30.86,13.04,-23.79
Employee Benefit Expenses,5.85,12.16,10.19,7.57,5.74
Finance Costs,4.47,49.40,37.66,28.11,25.53
Depreciation And Amortisation Expenses,12.12,12.47,10.90,8.41,6.47
Other Expenses,208.92,21.35,58.36,27.75,28.42
Total Expenses,308.71,530.66,1166.87,932.06,785.55
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-231.41,-59.99,37.28,21.75,23.56
Exceptional Items,-92.82,0.00,0.00,0.00,0.00
Profit/Loss Before Tax,-324.23,-59.99,37.28,21.75,23.56
Tax Expenses-Continued Operations,,,,
Current Tax,0.00,0.00,5.27,4.35,4.36
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,3.81
Deferred Tax,-10.67,-1.57,-0.27,-3.27,5.84
Other Direct Taxes,0.00,0.55,0.00,0.00,0.00
Tax For Earlier Years,0.00,-0.04,0.13,0.00,0.42
Total Tax Expenses,-10.67,-1.06,5.13,1.08,6.81
Profit/Loss After Tax And Before ExtraOrdinary Items,-313.57,-58.93,32.15,20.67,16.75
Profit/Loss From Continuing Operations,-313.57,-58.93,32.15,20.67,16.75
Profit/Loss For The Period,-313.57,-58.93,32.15,20.67,16.75
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-1.83,-0.34,0.19,0.35,1.79
Diluted EPS (Rs.),-1.83,-0.34,0.19,0.35,1.68
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
