,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],3529.32,3168.57,2826.49,2348.54,2007.94
Less: Excise/Sevice Tax/Other Levies,179.69,160.95,145.82,120.74,105.05
Revenue From Operations [Net],3349.64,3007.61,2680.67,2227.80,1902.89
Other Operating Revenues,63.57,34.38,32.90,28.09,26.81
Total Operating Revenues,3413.20,3041.99,2713.57,2255.89,1929.71
Other Income,21.30,17.65,13.39,17.21,18.69
Total Revenue,3434.51,3059.64,2726.96,2273.10,1948.39
EXPENSES,,,,
Purchase Of Stock-In Trade,2181.03,1910.51,1742.16,1439.37,1270.94
Changes In Inventories Of FG/WIP And Stock-In Trade,-56.26,-34.08,-51.71,-31.78,-60.90
Employee Benefit Expenses,245.46,227.03,204.45,161.06,127.64
Finance Costs,57.33,51.22,41.89,31.88,25.04
Depreciation And Amortisation Expenses,97.66,85.81,61.78,50.75,37.72
Other Expenses,825.71,749.59,665.02,560.83,450.15
Total Expenses,3350.94,2990.08,2663.58,2212.11,1850.59
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,83.57,69.56,63.38,61.00,97.81
Exceptional Items,-23.81,0.00,-0.67,-0.74,0.00
Profit/Loss Before Tax,59.76,69.56,62.71,60.26,97.81
Tax Expenses-Continued Operations,,,,
Current Tax,42.55,29.10,21.83,20.07,30.06
Deferred Tax,-8.05,-0.05,3.40,2.43,3.48
Tax For Earlier Years,0.08,-0.22,0.47,-1.41,0.00
Total Tax Expenses,34.58,28.83,25.70,21.09,33.55
Profit/Loss After Tax And Before ExtraOrdinary Items,25.18,40.74,37.00,39.17,64.26
Profit/Loss From Continuing Operations,25.18,40.74,37.00,39.17,64.26
Profit/Loss For The Period,25.18,40.74,37.00,39.17,64.26
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),3.02,4.89,4.46,4.73,7.80
Diluted EPS (Rs.),3.02,4.88,4.45,4.71,7.75
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,6.26,6.25,6.24,6.22,6.19
Tax On Dividend,1.27,1.27,1.06,1.06,1.00
Equity Dividend Rate (%),15.00,15.00,15.00,15.00,15.00
