,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],13576.81,11953.52,10016.27,8875.21,8808.86
Less: Excise/Sevice Tax/Other Levies,1162.77,838.05,815.67,778.23,680.31
Revenue From Operations [Net],12414.04,11115.47,9200.60,8096.98,8128.55
Other Operating Revenues,186.39,224.24,143.16,128.81,168.61
Total Operating Revenues,12600.43,11339.71,9343.76,8225.79,8297.16
Other Income,41.54,37.52,27.87,27.41,21.05
Total Revenue,12641.97,11377.23,9371.63,8253.20,8318.21
EXPENSES,,,,
Cost Of Materials Consumed,8154.26,7610.99,5877.26,5351.37,4931.40
Purchase Of Stock-In Trade,266.13,226.90,400.35,242.78,902.80
Changes In Inventories Of FG/WIP And Stock-In Trade,50.98,-114.65,29.56,1.13,-33.48
Employee Benefit Expenses,954.02,842.09,696.22,605.58,558.90
Finance Costs,100.34,98.99,115.33,147.72,130.11
Depreciation And Amortisation Expenses,271.24,238.41,213.86,225.90,206.26
Other Expenses,2284.70,2057.69,1759.37,1503.03,1377.73
Total Expenses,12081.67,10960.42,9091.95,8077.51,8073.72
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,560.30,416.81,279.68,175.69,244.49
Exceptional Items,6.11,61.33,36.11,92.78,25.34
Profit/Loss Before Tax,566.41,478.14,315.79,268.47,269.84
Tax Expenses-Continued Operations,,,,
Current Tax,129.18,106.53,73.88,64.79,77.85
Deferred Tax,28.59,30.71,53.10,22.63,25.84
Tax For Earlier Years,4.63,0.00,0.00,0.00,0.00
Total Tax Expenses,162.40,137.24,126.98,87.42,103.69
Profit/Loss After Tax And Before ExtraOrdinary Items,404.01,340.90,188.81,181.05,166.14
Extraordinary Items,0.00,0.00,4.58,13.43,0.00
Profit/Loss From Continuing Operations,404.01,340.90,193.39,194.48,166.14
Profit/Loss For The Period,404.01,340.90,193.39,194.48,166.15
Share Of Profit/Loss Of Associates,4.23,4.29,0.59,1.31,0.02
Consolidated Profit/Loss After MI And Associates,408.24,345.19,193.98,195.79,166.16
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),120.00,105.00,71.00,98.00,45.00
Diluted EPS (Rs.),120.00,105.00,71.00,98.00,45.00
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,102.19,53.62,52.10,38.70,33.96
Tax On Dividend,23.87,18.63,11.72,8.97,13.83
