,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],1392.24,1813.91,2582.26,2332.88,1726.99
Revenue From Operations [Net],1392.24,1813.91,2582.26,2332.88,1726.99
Other Operating Revenues,11.47,0.00,0.00,0.00,0.00
Total Operating Revenues,1403.71,1813.91,2582.26,2332.88,1726.99
Other Income,10.73,8.04,8.22,5.42,3.75
Total Revenue,1414.44,1821.95,2590.47,2338.29,1730.74
EXPENSES,,,,
Operating And Direct Expenses,902.66,1230.17,1957.60,1880.92,1403.86
Changes In Inventories Of FG/WIP And Stock-In Trade,0.00,0.00,-0.58,-12.57,-23.47
Employee Benefit Expenses,47.14,67.24,81.29,55.90,38.61
Finance Costs,360.04,296.70,244.29,165.69,123.93
Depreciation And Amortisation Expenses,68.50,76.62,76.71,53.28,36.04
Other Expenses,179.37,155.75,94.14,44.19,33.37
Total Expenses,1557.71,1826.49,2453.45,2187.41,1612.35
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-143.28,-4.53,137.03,150.88,118.39
Exceptional Items,-11.04,0.00,0.00,0.00,0.00
Profit/Loss Before Tax,-154.32,-4.53,137.03,150.88,118.39
Tax Expenses-Continued Operations,,,,
Current Tax,0.15,19.39,71.10,50.49,34.92
Less: MAT Credit Entitlement,-0.05,0.00,0.00,0.00,0.00
Deferred Tax,8.84,-7.20,-11.67,0.16,2.08
Tax For Earlier Years,0.00,4.06,0.00,2.44,0.00
Total Tax Expenses,9.04,16.26,59.43,53.09,37.01
Profit/Loss After Tax And Before ExtraOrdinary Items,-163.36,-20.79,77.59,97.79,81.39
Profit/Loss From Continuing Operations,-163.36,-20.79,77.59,97.79,81.39
Profit/Loss For The Period,-163.36,-20.79,77.59,97.79,81.39
Minority Interest,16.97,8.28,1.57,2.38,-2.25
Share Of Profit/Loss Of Associates,-5.55,-1.62,0.00,-0.01,0.00
Consolidated Profit/Loss After MI And Associates,-151.95,-14.12,79.17,100.16,79.13
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-59.00,-7.00,45.00,60.00,47.00
Diluted EPS (Rs.),-59.00,-7.00,43.00,60.00,47.00
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,0.00,1.56,3.01,3.35,2.09
Preference Share Dividend,0.00,0.03,0.03,0.03,0.03
Tax On Dividend,0.00,0.01,0.52,0.57,0.34
