,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],5930.64,2261.49,3015.65,1748.11,6854.30
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.02,0.00,0.78
Revenue From Operations [Net],5930.64,2261.49,3015.63,1748.11,6853.52
Other Operating Revenues,8.72,8.81,49.08,5.56,17.69
Total Operating Revenues,5939.36,2270.30,3064.71,1753.67,6871.21
Total Revenue,5939.36,2270.30,3064.71,1753.67,6871.21
EXPENSES,,,,
Cost Of Materials Consumed,3661.65,1627.46,1681.74,1699.45,4488.64
Purchase Of Stock-In Trade,30.66,18.39,36.74,72.78,66.84
Changes In Inventories Of FG/WIP And Stock-In Trade,37.97,49.38,476.73,-320.35,-96.23
Employee Benefit Expenses,222.14,187.04,255.70,257.45,337.43
Finance Costs,186.27,885.70,993.24,784.51,536.96
Depreciation And Amortisation Expenses,165.49,157.81,174.00,214.54,182.68
Other Expenses,1133.05,769.01,957.62,1316.55,1504.74
Total Expenses,5437.23,3694.79,4575.77,4024.93,7021.06
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,502.13,-1424.49,-1511.06,-2271.26,-149.85
Exceptional Items,-455.31,-4607.85,638.35,-571.71,-348.92
Profit/Loss Before Tax,46.82,-6032.34,-872.71,-2842.97,-498.77
Tax Expenses-Continued Operations,,,,
Current Tax,0.07,0.00,0.00,0.00,0.00
Less: MAT Credit Entitlement,0.00,0.00,0.00,-156.46,0.00
Tax For Earlier Years,0.00,0.00,-0.33,-9.63,6.61
Total Tax Expenses,0.07,0.00,-0.33,146.83,6.61
Profit/Loss After Tax And Before ExtraOrdinary Items,46.75,-6032.34,-872.38,-2989.80,-505.38
Prior Period Items,0.00,0.00,-52.09,0.00,0.00
Profit/Loss From Continuing Operations,46.75,-6032.34,-924.47,-2989.80,-505.38
Profit/Loss For The Period,46.75,-6032.34,-924.47,-2989.80,-505.38
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),0.10,-20.09,-4.13,-16.82,-2.84
Diluted EPS (Rs.),0.10,-20.09,-4.13,-16.82,-2.84
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,1895.73,761.71,963.88,1139.31,2341.85
Indigenous Raw Materials,1765.92,865.75,717.85,560.14,2146.79
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,10.24,3.83,0.97,5.25,4.04
Indigenous Stores And Spares,25.37,13.67,21.77,36.41,34.63
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
