,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],225.61,171.74,146.28,130.75,106.59
Revenue From Operations [Net],225.61,171.74,146.28,130.75,106.59
Other Operating Revenues,9.52,8.34,3.70,3.51,2.48
Total Operating Revenues,235.14,180.08,149.98,134.26,109.08
Other Income,5.20,6.97,6.58,5.73,5.11
Total Revenue,240.34,187.05,156.56,139.99,114.19
EXPENSES,,,,
Cost Of Materials Consumed,59.66,48.66,36.21,29.67,23.80
Purchase Of Stock-In Trade,6.64,6.67,6.40,5.96,4.91
Changes In Inventories Of FG/WIP And Stock-In Trade,0.68,-0.10,-0.10,-0.04,0.36
Employee Benefit Expenses,24.29,17.26,12.09,9.03,7.12
Depreciation And Amortisation Expenses,11.35,10.71,6.36,3.32,2.09
Other Expenses,49.26,34.31,26.70,26.18,23.89
Total Expenses,151.88,117.50,87.66,74.11,62.17
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,88.46,69.54,68.90,65.87,52.01
Exceptional Items,0.30,2.08,0.00,12.00,0.00
Profit/Loss Before Tax,88.76,71.62,68.90,77.87,52.01
Tax Expenses-Continued Operations,,,,
Current Tax,32.10,25.00,22.20,20.71,17.22
Deferred Tax,-1.69,-1.83,0.54,0.34,-0.15
Tax For Earlier Years,-0.41,0.00,0.00,0.00,0.00
Total Tax Expenses,30.00,23.17,22.74,21.06,17.07
Profit/Loss After Tax And Before ExtraOrdinary Items,58.75,48.45,46.16,56.82,34.94
Profit/Loss From Continuing Operations,58.75,48.45,46.16,56.82,34.94
Profit/Loss For The Period,58.75,48.45,46.16,56.82,34.94
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),11.42,9.79,10.57,13.04,8.08
Diluted EPS (Rs.),11.41,9.79,9.29,11.45,7.09
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,2.14,0.00,0.00,0.00,0.00
Indigenous Raw Materials,57.52,0.00,0.00,0.00,0.00
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,51.33,18.99,0.00,0.00,0.00
Tax On Dividend,10.53,3.23,0.00,0.00,0.00
Equity Dividend Rate (%),96.00,38.00,0.00,0.00,0.00
