,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,15 mths
INCOME,,,,
Revenue From Operations [Gross],1106.69,954.58,748.86,728.33,881.75
Less: Excise/Sevice Tax/Other Levies,58.83,38.14,38.64,50.54,60.28
Revenue From Operations [Net],1047.86,916.44,710.23,677.78,821.47
Other Operating Revenues,14.04,12.52,9.92,10.73,9.29
Total Operating Revenues,1061.90,928.96,720.14,688.52,830.76
Other Income,5.66,5.94,10.82,5.48,20.33
Total Revenue,1067.56,934.91,730.97,694.00,851.10
EXPENSES,,,,
Cost Of Materials Consumed,375.43,321.90,243.54,273.61,396.97
Purchase Of Stock-In Trade,283.84,250.39,205.95,145.31,112.40
Changes In Inventories Of FG/WIP And Stock-In Trade,-20.61,-16.36,-3.81,-1.53,-28.34
Employee Benefit Expenses,68.08,66.79,52.89,52.27,61.28
Finance Costs,0.92,0.57,0.89,1.29,1.22
Depreciation And Amortisation Expenses,22.46,16.76,15.81,13.91,14.88
Other Expenses,192.65,172.54,150.02,145.39,182.12
Total Expenses,922.76,812.59,665.28,630.25,740.53
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,15 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,144.80,122.31,65.69,63.75,110.56
Exceptional Items,-3.01,0.00,0.00,0.00,0.00
Profit/Loss Before Tax,141.79,122.31,65.69,63.75,110.56
Tax Expenses-Continued Operations,,,,
Current Tax,49.25,41.02,21.02,21.23,28.94
Deferred Tax,0.64,0.60,-0.08,-1.73,0.97
Total Tax Expenses,49.89,41.62,20.94,19.51,29.90
Profit/Loss After Tax And Before ExtraOrdinary Items,91.91,80.69,44.75,44.24,80.66
Profit/Loss From Continuing Operations,91.91,80.69,44.75,44.24,80.66
Profit/Loss For The Period,91.91,80.69,44.75,44.24,80.66
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,15 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),13.52,11.87,6.60,6.94,12.66
Diluted EPS (Rs.),13.52,11.87,6.94,6.94,12.66
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,78.93,68.51,65.33,98.26,142.17
Indigenous Raw Materials,296.50,253.38,178.21,175.35,254.81
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,2.44,2.45,2.24,1.50,2.42
Indigenous Stores And Spares,36.70,32.08,25.59,23.98,32.65
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,6.80,20.40,44.19,13.60,127.44
Tax On Dividend,1.42,4.18,7.51,2.31,20.68
Equity Dividend Rate (%),10.00,30.00,65.00,20.00,200.00
