,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],1654.31,1933.73,1817.74,1649.42,1380.39
Revenue From Operations [Net],1654.31,1933.73,1817.74,1649.42,1380.39
Other Operating Revenues,0.47,0.47,6.60,8.92,5.08
Total Operating Revenues,1654.78,1934.20,1824.34,1658.34,1385.47
Other Income,4.63,14.51,6.62,5.88,1.61
Total Revenue,1659.41,1948.71,1830.96,1664.22,1387.08
EXPENSES,,,,
Cost Of Materials Consumed,1095.21,1424.71,1408.89,1563.73,971.89
Purchase Of Stock-In Trade,307.91,233.76,197.78,262.91,248.87
Changes In Inventories Of FG/WIP And Stock-In Trade,16.38,7.94,-90.81,-480.34,-78.36
Employee Benefit Expenses,65.96,56.72,61.41,55.10,45.75
Finance Costs,55.69,50.22,46.35,21.49,31.48
Depreciation And Amortisation Expenses,10.09,8.38,9.99,8.04,5.26
Other Expenses,129.76,136.22,114.35,109.71,75.27
Total Expenses,1681.00,1917.96,1747.96,1540.66,1300.15
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-21.60,30.75,82.99,123.56,86.93
Exceptional Items,0.00,8.74,0.00,0.00,0.00
Profit/Loss Before Tax,-21.60,39.49,82.99,123.56,86.93
Tax Expenses-Continued Operations,,,,
Current Tax,0.00,7.12,29.42,42.03,31.30
Deferred Tax,0.35,6.33,-1.48,-1.81,-1.63
Tax For Earlier Years,1.19,0.00,0.00,-1.66,0.06
Total Tax Expenses,1.53,13.45,27.94,38.56,29.73
Profit/Loss After Tax And Before ExtraOrdinary Items,-23.13,26.04,55.06,85.00,57.19
Profit/Loss From Continuing Operations,-23.13,26.04,55.06,85.00,57.19
Profit/Loss For The Period,-23.13,26.04,55.06,85.00,57.19
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-3.47,3.90,8.26,13.04,11.44
Diluted EPS (Rs.),-3.47,3.90,8.25,13.03,11.42
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,0.94,4.38,10.02,0.00,4.50
Indigenous Raw Materials,1094.28,1420.33,1398.87,1563.73,1137.90
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,0.00,6.68,15.01,15.00,5.00
Tax On Dividend,0.00,1.65,2.55,2.55,0.81
Equity Dividend Rate (%),0.00,10.00,23.00,23.00,8.00
