,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],3638.37,3709.76,3793.12,3278.23,2679.64
Less: Excise/Sevice Tax/Other Levies,45.55,46.45,40.66,37.39,29.39
Revenue From Operations [Net],3592.82,3663.31,3752.46,3240.84,2650.25
Other Operating Revenues,91.20,92.02,116.50,94.34,82.03
Total Operating Revenues,3684.02,3755.33,3868.96,3335.18,2732.28
Other Income,31.67,34.47,16.31,22.44,20.16
Total Revenue,3715.69,3789.80,3885.27,3357.62,2752.44
EXPENSES,,,,
Cost Of Materials Consumed,1726.30,1971.17,1941.54,1819.82,1625.43
Purchase Of Stock-In Trade,14.68,53.33,88.13,22.61,19.14
Changes In Inventories Of FG/WIP And Stock-In Trade,-6.79,-93.65,22.41,-0.96,-18.98
Employee Benefit Expenses,433.53,387.16,287.00,237.86,201.49
Finance Costs,136.41,205.96,210.33,235.28,171.78
Depreciation And Amortisation Expenses,337.64,321.32,268.41,261.44,207.53
Other Expenses,797.36,776.55,802.27,700.52,605.12
Total Expenses,3439.13,3621.84,3620.09,3276.57,2811.51
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,276.56,167.96,265.18,81.05,-59.07
Profit/Loss Before Tax,276.56,167.96,265.18,81.05,-59.07
Tax Expenses-Continued Operations,,,,
Current Tax,59.24,34.19,55.58,15.10,0.00
Less: MAT Credit Entitlement,59.12,34.08,-9.72,15.10,0.00
Deferred Tax,48.46,49.99,1.22,27.75,-19.12
Tax For Earlier Years,0.01,0.00,1.61,4.01,3.79
Total Tax Expenses,48.59,50.10,68.13,31.76,-15.33
Profit/Loss After Tax And Before ExtraOrdinary Items,227.97,117.86,197.05,49.29,-43.74
Profit/Loss From Continuing Operations,227.97,117.86,197.05,49.29,-43.74
Profit/Loss For The Period,227.97,117.86,197.05,49.29,-43.74
Share Of Profit/Loss Of Associates,1.13,0.00,-3.03,0.02,0.27
Consolidated Profit/Loss After MI And Associates,229.10,117.86,194.02,49.31,-43.47
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),4.00,2.00,6.00,2.00,-2.00
Diluted EPS (Rs.),4.00,2.00,6.00,2.00,-2.00
Imported Raw Materials,9.87,55.53,51.76,55.53,52.86
Indigenous Raw Materials,1798.66,1915.64,1889.78,1764.29,1572.63
Imported Stores And Spares,14.83,18.75,13.83,20.73,10.83
Indigenous Stores And Spares,178.08,168.68,168.82,130.48,116.00
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,44.51,28.72,13.42,0.00,0.00
Tax On Dividend,9.23,5.34,2.28,0.00,0.00
