,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],4057.57,3916.16,3609.42,3642.25,3659.32
Less: Excise/Sevice Tax/Other Levies,267.52,270.38,257.73,251.88,200.35
Revenue From Operations [Net],3790.05,3645.78,3351.69,3390.37,3458.97
Other Operating Revenues,150.92,181.99,173.88,17.06,30.80
Total Operating Revenues,3940.97,3827.77,3525.57,3407.43,3489.77
Other Income,34.41,37.14,47.19,40.25,30.97
Total Revenue,3975.38,3864.91,3572.76,3447.68,3520.74
EXPENSES,,,,
Cost Of Materials Consumed,2364.56,2324.92,2128.12,1945.24,2013.73
Purchase Of Stock-In Trade,79.31,88.50,56.63,134.07,185.82
Changes In Inventories Of FG/WIP And Stock-In Trade,-12.40,-49.21,-5.27,20.88,-37.79
Employee Benefit Expenses,357.91,322.01,299.52,277.35,259.23
Finance Costs,135.11,138.30,123.27,104.16,76.17
Depreciation And Amortisation Expenses,110.60,97.01,84.24,79.77,76.08
Other Expenses,801.49,822.23,745.09,735.19,702.40
Total Expenses,3836.58,3743.76,3431.60,3296.66,3275.64
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,138.80,121.15,141.16,151.02,245.10
Exceptional Items,784.98,34.00,0.06,-3.81,0.00
Profit/Loss Before Tax,923.78,155.15,141.22,147.21,245.10
Tax Expenses-Continued Operations,,,,
Current Tax,210.33,26.80,47.40,36.00,64.50
Less: MAT Credit Entitlement,0.00,4.80,0.00,0.00,0.00
Deferred Tax,-14.74,7.05,-0.25,4.21,-3.68
Tax For Earlier Years,-1.70,5.24,0.00,3.04,4.19
Total Tax Expenses,193.89,34.29,47.15,43.25,65.01
Profit/Loss After Tax And Before ExtraOrdinary Items,729.89,120.86,94.07,103.96,180.09
Profit/Loss From Continuing Operations,729.89,120.86,94.07,103.96,180.09
Profit/Loss For The Period,729.89,120.86,94.07,103.96,180.09
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),38.98,6.46,5.04,5.58,9.69
Diluted EPS (Rs.),38.94,6.45,5.03,5.56,9.66
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,183.08,175.58,186.91,215.27,211.90
Indigenous Raw Materials,2181.48,2149.34,1965.15,1888.08,1957.18
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,7.46,6.39,7.59,7.01,7.62
Indigenous Stores And Spares,215.27,236.51,233.96,227.04,215.61
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,93.66,37.42,37.36,37.32,55.87
Tax On Dividend,18.49,3.30,2.08,3.20,7.32
Equity Dividend Rate (%),250.00,100.00,100.00,100.00,150.00
