,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],7257.19,7145.00,5534.72,5859.53,5174.11
Less: Excise/Sevice Tax/Other Levies,374.60,424.46,318.19,341.27,303.78
Revenue From Operations [Net],6882.59,6720.54,5216.53,5518.26,4870.33
Other Operating Revenues,41.77,231.59,250.74,392.81,301.27
Total Operating Revenues,6924.36,6952.13,5467.27,5911.07,5171.60
Other Income,4.13,35.35,29.53,13.96,7.64
Total Revenue,6928.49,6987.48,5496.80,5925.03,5179.24
EXPENSES,,,,
Cost Of Materials Consumed,2799.27,3963.52,2878.32,3252.16,3177.22
Purchase Of Stock-In Trade,3168.78,1825.60,1147.92,1609.46,620.80
Operating And Direct Expenses,294.45,322.25,321.08,344.60,292.84
Changes In Inventories Of FG/WIP And Stock-In Trade,236.27,-48.68,205.76,-186.20,312.82
Employee Benefit Expenses,109.15,103.06,88.29,76.33,67.50
Finance Costs,505.33,262.13,289.09,304.64,245.21
Depreciation And Amortisation Expenses,281.84,223.94,214.82,182.58,127.37
Other Expenses,325.77,280.32,273.00,226.13,194.48
Total Expenses,7720.86,6932.14,5418.28,5809.70,5038.24
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,-792.37,55.34,78.52,115.33,141.00
Exceptional Items,-717.81,0.00,0.00,0.00,0.00
Profit/Loss Before Tax,-1510.18,55.34,78.52,115.33,141.00
Tax Expenses-Continued Operations,,,,
Current Tax,0.00,11.60,17.03,27.17,28.21
Deferred Tax,0.00,13.00,27.63,46.55,34.78
Other Direct Taxes,0.00,0.00,0.06,0.06,0.05
Tax For Earlier Years,41.33,0.00,1.22,0.00,0.00
Total Tax Expenses,41.33,24.60,45.94,73.78,63.04
Profit/Loss After Tax And Before ExtraOrdinary Items,-1551.51,30.74,32.58,41.55,77.96
Prior Period Items,0.00,0.00,2.74,0.00,0.00
Extraordinary Items,0.00,0.00,0.00,20.00,0.00
Profit/Loss From Continuing Operations,-1551.51,30.74,35.32,61.55,77.96
Profit/Loss For The Period,-1551.51,30.74,35.32,61.55,77.96
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),-109.06,2.16,2.48,5.03,6.38
Diluted EPS (Rs.),-109.06,2.16,2.48,5.03,6.38
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,3951.22,3558.61,1863.17,3313.77,2375.55
Indigenous Raw Materials,2034.67,2232.03,2133.48,1572.45,1626.67
STORES/ SPARES AND LOOSE TOOLS,,,,
Imported Stores And Spares,9.40,11.17,9.45,6.34,0.40
Indigenous Stores And Spares,52.28,54.97,49.30,43.45,43.71
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
