,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],56.52,64.57,76.17,138.35,210.27
Revenue From Operations [Net],56.52,64.57,76.17,138.35,210.27
Total Operating Revenues,56.52,64.57,76.17,138.35,210.27
Other Income,0.54,0.53,0.75,0.74,0.51
Total Revenue,57.06,65.10,76.92,139.09,210.78
EXPENSES,,,,
Operating And Direct Expenses,36.75,38.12,61.32,111.90,184.79
Changes In Inventories Of FG/WIP And Stock-In Trade,14.39,16.77,0.00,0.00,0.00
Employee Benefit Expenses,2.18,3.71,3.64,4.39,3.76
Finance Costs,0.59,0.50,1.47,0.65,0.86
Depreciation And Amortisation Expenses,0.38,0.50,0.78,0.78,2.19
Other Expenses,1.72,2.62,3.67,6.65,5.06
Total Expenses,56.02,62.23,70.87,124.38,196.67
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,1.04,2.87,6.05,14.71,14.11
Exceptional Items,0.00,0.00,0.00,-0.90,0.00
Profit/Loss Before Tax,1.04,2.87,6.05,13.82,14.11
Tax Expenses-Continued Operations,,,,
Current Tax,0.28,0.99,1.88,4.64,4.37
Deferred Tax,0.05,0.00,-0.01,-0.01,0.05
Tax For Earlier Years,0.00,0.00,0.00,0.74,0.00
Total Tax Expenses,0.33,0.99,1.87,5.36,4.42
Profit/Loss After Tax And Before ExtraOrdinary Items,0.71,1.88,4.18,8.45,9.69
Prior Period Items,0.00,0.00,-0.11,0.00,0.00
Profit/Loss From Continuing Operations,0.71,1.88,4.07,8.45,9.69
Profit Loss From Discontinuing Operations,0.00,0.00,0.00,0.00,-0.22
Net Profit Loss From Discontinuing Operations,0.00,0.00,0.00,0.00,-0.22
Profit/Loss For The Period,0.71,1.88,4.07,8.45,9.47
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),0.27,0.72,1.55,3.23,3.70
Diluted EPS (Rs.),0.27,0.72,1.55,3.23,3.62
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,0.00,0.00,0.00,2.10,2.10
Tax On Dividend,0.00,0.00,0.00,0.34,0.34
Equity Dividend Rate (%),0.00,0.00,0.00,8.00,8.00
