,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],605.96,551.73,479.97,556.90,607.54
Less: Excise/Sevice Tax/Other Levies,51.87,45.45,43.46,50.10,48.97
Revenue From Operations [Net],554.09,506.28,436.51,506.81,558.57
Other Operating Revenues,9.22,10.61,8.26,8.70,11.24
Total Operating Revenues,563.30,516.89,444.78,515.50,569.81
Other Income,28.29,21.16,26.74,20.02,15.45
Total Revenue,591.60,538.05,471.52,535.52,585.26
EXPENSES,,,,
Cost Of Materials Consumed,455.15,440.17,348.24,392.63,471.47
Operating And Direct Expenses,30.34,27.79,22.63,25.80,33.15
Changes In Inventories Of FG/WIP And Stock-In Trade,-11.85,-14.64,18.76,20.40,-15.16
Employee Benefit Expenses,21.24,21.22,18.45,19.76,18.81
Finance Costs,0.44,0.30,0.37,0.49,0.48
Depreciation And Amortisation Expenses,5.98,7.22,7.13,7.67,8.27
Other Expenses,31.02,22.60,21.72,22.73,19.81
Total Expenses,532.31,504.66,437.31,489.49,536.83
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,59.29,33.39,34.21,46.03,48.43
Profit/Loss Before Tax,59.29,33.39,34.21,46.03,48.43
Tax Expenses-Continued Operations,,,,
Current Tax,15.50,8.75,8.25,13.75,15.20
Deferred Tax,-0.19,-1.25,-0.33,-0.62,-0.05
Tax For Earlier Years,0.00,-2.52,0.00,0.00,0.00
Total Tax Expenses,15.31,4.98,7.92,13.13,15.15
Profit/Loss After Tax And Before ExtraOrdinary Items,43.98,28.41,26.29,32.90,33.28
Profit/Loss From Continuing Operations,43.98,28.41,26.29,32.90,33.28
Profit/Loss For The Period,43.98,28.41,26.29,32.90,33.28
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),43.47,28.08,25.98,32.52,32.89
Diluted EPS (Rs.),43.47,28.08,25.98,32.52,32.89
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,12.65,10.12,10.12,15.18,10.12
Tax On Dividend,2.57,2.07,1.72,2.58,1.64
Equity Dividend Rate (%),125.00,100.00,100.00,150.00,100.00
