,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
INCOME,,,,
Revenue From Operations [Gross],205.36,181.87,153.63,137.85,113.13
Revenue From Operations [Net],205.36,181.87,153.63,137.85,113.13
Total Operating Revenues,205.36,181.87,153.63,137.85,113.13
Other Income,18.08,10.25,2.38,1.32,1.39
Total Revenue,223.43,192.12,156.01,139.17,114.52
EXPENSES,,,,
Purchase Of Stock-In Trade,14.38,11.77,9.43,7.34,4.85
Operating And Direct Expenses,36.10,31.99,25.79,20.73,16.96
Changes In Inventories Of FG/WIP And Stock-In Trade,-0.85,-0.58,0.03,-0.12,-0.10
Employee Benefit Expenses,31.01,27.08,25.28,27.42,20.75
Finance Costs,1.33,1.67,1.63,2.23,1.13
Depreciation And Amortisation Expenses,13.92,16.19,13.20,11.85,11.56
Other Expenses,40.51,31.05,22.75,19.64,15.18
Total Expenses,136.41,119.17,98.10,89.08,70.33
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
Profit/Loss Before Exceptional/ ExtraOrdinary Items And Tax,87.02,72.94,57.91,50.09,44.20
Profit/Loss Before Tax,87.02,72.94,57.91,50.09,44.20
Tax Expenses-Continued Operations,,,,
Current Tax,31.98,25.02,20.11,16.26,14.56
Deferred Tax,-4.09,-2.27,-0.34,0.35,-0.23
Tax For Earlier Years,-0.68,-0.44,-1.75,0.00,0.00
Total Tax Expenses,27.21,22.31,18.02,16.61,14.33
Profit/Loss After Tax And Before ExtraOrdinary Items,59.82,50.63,39.89,33.48,29.87
Profit/Loss From Continuing Operations,59.82,50.63,39.89,33.48,29.87
Profit/Loss For The Period,59.82,50.63,39.89,33.48,29.87
,Mar 16,Mar 15,Mar 14,Mar 13,Mar 12
,12 mths,12 mths,12 mths,12 mths,12 mths
OTHER ADDITIONAL INFORMATION,,,,
EARNINGS PER SHARE,,,,
Basic EPS (Rs.),10.59,9.19,9.50,7.97,7.11
Diluted EPS (Rs.),10.59,9.19,9.50,7.97,7.11
VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS,,,,
Imported Raw Materials,0.53,0.51,2.01,0.74,0.47
Indigenous Raw Materials,8.86,7.69,6.32,6.23,1.06
STORES/ SPARES AND LOOSE TOOLS,,,,
DIVIDEND AND DIVIDEND PERCENTAGE,,,,
Equity Share Dividend,11.30,8.48,8.48,6.30,6.30
Tax On Dividend,1.96,1.47,1.44,1.07,1.02
Equity Dividend Rate (%),20.00,15.00,15.00,15.00,15.00
